student	vak	activiteit	zaal	dag	tijdslot
Avci Martin	Compilerbouw	Lecture	C0.110	vr	13-15
Avci Martin	Compilerbouw	Tutorial	A1.04	ma	9-11
Avci Martin	Compilerbouw	Lab	A1.04		
Avci Martin	Project Numerical Recipes	Lab	A1.08	vr	11-13
Baetsen Gidon	Informatie- en organisatieontwerp	Lecture	A1.06	vr	15-17
Baetsen Gidon	Informatie- en organisatieontwerp	Lecture	A1.06		
Baetsen Gidon	Informatie- en organisatieontwerp	Tutorial	A1.08	wo	15-17
Baetsen Gidon	Informatie- en organisatieontwerp	Lab	A1.08	do	11-13
Baetsen Gidon	Moderne Databases	Lecture	A1.10		
Baetsen Gidon	Moderne Databases	Tutorial	A1.08		
Baetsen Gidon	Moderne Databases	Lab	A1.08		
Bakkum Rhona	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Bakkum Rhona	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Bakkum Rhona	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Bakkum Rhona	Collectieve Intelligentie	Tutorial	A1.08	wo	15-17
Bakkum Rhona	Collectieve Intelligentie	Lab	A1.08	vr	15-17
Bakkum Rhona	Moderne Databases	Lecture	A1.10		
Bakkum Rhona	Moderne Databases	Tutorial	A1.08		
Bakkum Rhona	Moderne Databases	Lab	A1.08		
Bart Wafa	Analysemethoden en -technieken	Lecture	A1.10	ma	13-15
Bart Wafa	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Bart Wafa	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Bart Wafa	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Bart Wafa	Collectieve Intelligentie	Tutorial	A1.08	wo	15-17
Bart Wafa	Collectieve Intelligentie	Lab	A1.08	vr	15-17
Bart Wafa	Databases 2	Lecture	C0.110		
Bart Wafa	Databases 2	Tutorial	A1.04		
Bart Wafa	Kansrekenen 2	Lecture	C0.110		
Bart Wafa	Kansrekenen 2	Lecture	C0.110		
Baselmans Sharan	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Baselmans Sharan	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Baselmans Sharan	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Baselmans Sharan	Collectieve Intelligentie	Tutorial	A1.08	wo	15-17
Baselmans Sharan	Collectieve Intelligentie	Lab	A1.08	vr	15-17
Baselmans Sharan	Compilerbouw	Lecture	C0.110	ma	11-13
Baselmans Sharan	Compilerbouw	Lecture	C0.110	vr	13-15
Baselmans Sharan	Compilerbouw	Tutorial	A1.04	ma	9-11
Baselmans Sharan	Compilerbouw	Lab	A1.04		
Baselmans Sharan	Lineaire Algebra	Lecture	A1.10		
Baselmans Sharan	Lineaire Algebra	Lecture	A1.10		
Baselmans Sharan	Project Numerical Recipes	Lab	A1.08	vr	11-13
Bastings Edin	Algoritmen en complexiteit	Lecture	B0.201	ma	13-15
Bastings Edin	Algoritmen en complexiteit	Tutorial	A1.06	ma	15-17
Bastings Edin	Algoritmen en complexiteit	Lab	A1.06	di	9-11
Bastings Edin	Architectuur en computerorganisatie	Lecture	A1.06	di	11-13
Bastings Edin	Architectuur en computerorganisatie	Lecture	A1.06	di	13-15
Bastings Edin	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Bastings Edin	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Bastings Edin	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Bastings Edin	Collectieve Intelligentie	Tutorial	A1.08	wo	15-17
Bastings Edin	Collectieve Intelligentie	Lab	A1.08	vr	15-17
Bastings Edin	Databases 2	Lecture	C0.110		
Bastings Edin	Databases 2	Tutorial	A1.04		
Bastings Edin	Netwerken en systeembeveiliging	Lab	A1.08	wo	9-11
Baudoin Mattijs	Algoritmen en complexiteit	Lecture	B0.201	ma	13-15
Baudoin Mattijs	Algoritmen en complexiteit	Tutorial	A1.06	ma	15-17
Baudoin Mattijs	Algoritmen en complexiteit	Lab	A1.06	di	9-11
Baudoin Mattijs	Compilerbouw	Lecture	C0.110	ma	11-13
Baudoin Mattijs	Compilerbouw	Lecture	C0.110	vr	13-15
Baudoin Mattijs	Compilerbouw	Tutorial	A1.04	ma	9-11
Baudoin Mattijs	Compilerbouw	Lab	A1.04		
Baudoin Mattijs	Interactie-ontwerp	Lecture	A1.04	di	15-17
Baudoin Mattijs	Interactie-ontwerp	Lecture	A1.04	di	11-13
Baudoin Mattijs	Lineaire Algebra	Lecture	A1.10		
Baudoin Mattijs	Lineaire Algebra	Lecture	A1.10		
Baudoin Mattijs	Netwerken en systeembeveiliging	Lab	A1.08	wo	9-11
Bauer Ravi	Calculus 2	Lecture	C0.110	vr	9-11
Bauer Ravi	Calculus 2	Tutorial	A1.04	do	13-15
Bauer Ravi	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Bauer Ravi	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Bauer Ravi	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Bauer Ravi	Collectieve Intelligentie	Tutorial	A1.08	wo	15-17
Bauer Ravi	Collectieve Intelligentie	Lab	A1.08	vr	15-17
Bauer Ravi	Netwerken en systeembeveiliging	Lab	A1.08	wo	9-11
Becht Wiert	Project Numerical Recipes	Lab	A1.08	vr	11-13
Bekkema Kyllian	Advanced Heuristics	Lecture	A1.08	ma	9-11
Bekkema Kyllian	Advanced Heuristics	Lab	A1.08	ma	11-13
Bekkema Kyllian	Netwerken en systeembeveiliging	Lab	A1.08	wo	9-11
Bekkema Kyllian	Reflectie op de digitale cultuur	Lecture	A1.10		
Bekkema Kyllian	Reflectie op de digitale cultuur	Lecture	A1.10		
Bekkema Kyllian	Reflectie op de digitale cultuur	Tutorial	A1.08	wo	11-13
Bekker Marrie	Calculus 2	Lecture	C0.110	vr	9-11
Bekker Marrie	Calculus 2	Tutorial	A1.04	do	13-15
Bekker Marrie	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Bekker Marrie	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Bekker Marrie	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Bekker Marrie	Collectieve Intelligentie	Tutorial	A1.08	wo	15-17
Bekker Marrie	Collectieve Intelligentie	Lab	A1.08	vr	15-17
Bekker Marrie	Netwerken en systeembeveiliging	Lab	A1.08	wo	9-11
Bekker Marrie	Zoeken sturen en bewegen	Lab	A1.08	do	15-17
Berentsen Angle	Advanced Heuristics	Lecture	A1.08	ma	9-11
Berentsen Angle	Advanced Heuristics	Lab	A1.08	ma	11-13
Berentsen Angle	Algoritmen en complexiteit	Lecture	B0.201	ma	13-15
Berentsen Angle	Algoritmen en complexiteit	Tutorial	A1.06	ma	15-17
Berentsen Angle	Algoritmen en complexiteit	Lab	A1.06	di	9-11
Berentsen Angle	Kansrekenen 2	Lecture	C0.110		
Berentsen Angle	Kansrekenen 2	Lecture	C0.110		
Berentsen Angle	Reflectie op de digitale cultuur	Lecture	A1.10		
Berentsen Angle	Reflectie op de digitale cultuur	Lecture	A1.10		
Berentsen Angle	Reflectie op de digitale cultuur	Tutorial	A1.08	wo	11-13
Bergmans Emil	Algoritmen en complexiteit	Lecture	B0.201	ma	13-15
Bergmans Emil	Algoritmen en complexiteit	Tutorial	A1.06	ma	15-17
Bergmans Emil	Algoritmen en complexiteit	Lab	A1.06	di	9-11
Bergmans Emil	Kansrekenen 2	Lecture	C0.110		
Bergmans Emil	Kansrekenen 2	Lecture	C0.110		
Bergmans Emil	Netwerken en systeembeveiliging	Lab	A1.08	wo	9-11
Bergmans Emil	Project Genetic Algorithms	Lab	A1.08	wo	11-13
Berkers Tian	Advanced Heuristics	Lecture	A1.08	ma	9-11
Berkers Tian	Advanced Heuristics	Lab	A1.08	ma	11-13
Berkers Tian	Calculus 2	Lecture	C0.110	vr	9-11
Berkers Tian	Calculus 2	Tutorial	A1.04	do	13-15
Berkers Tian	Webprogrammeren en databases	Lecture	A1.04		
Berkers Tian	Webprogrammeren en databases	Lecture	A1.04		
Berkers Tian	Webprogrammeren en databases	Tutorial	A1.08	wo	13-15
Berkers Tian	Webprogrammeren en databases	Lab	A1.08	wo	15-17
Berrevoets Annique	Netwerken en systeembeveiliging	Lab	A1.08	wo	9-11
Berrevoets Annique	Software engineering	Lecture	C0.110		
Berrevoets Annique	Software engineering	Tutorial	A1.04		
Berrevoets Annique	Software engineering	Lab	A1.04		
Besemer Theadora	Data Mining	Lecture	A1.04		
Besemer Theadora	Data Mining	Lecture	A1.04		
Besemer Theadora	Data Mining	Tutorial	A1.08	do	13-15
Besemer Theadora	Data Mining	Lab	A1.08	vr	9-11
Beulen Abdallah	Analysemethoden en -technieken	Lecture	A1.10	ma	13-15
Beulen Abdallah	Autonomous Agents 2	Lecture	A1.06	di	15-17
Beulen Abdallah	Autonomous Agents 2	Lecture	A1.06	wo	9-11
Beulen Abdallah	Autonomous Agents 2	Tutorial	A1.08	di	11-13
Beulen Abdallah	Autonomous Agents 2	Lab	A1.08	di	13-15
Beulen Abdallah	Heuristieken 1	Lecture	B0.201		
Beulen Abdallah	Heuristieken 1	Tutorial	A1.06	vr	13-15
Beulen Abdallah	Reflectie op de digitale cultuur	Lecture	A1.10		
Beulen Abdallah	Reflectie op de digitale cultuur	Lecture	A1.10		
Beulen Abdallah	Reflectie op de digitale cultuur	Tutorial	A1.08	wo	11-13
Beulen Abdallah	Software engineering	Lecture	C0.110		
Beulen Abdallah	Software engineering	Tutorial	A1.04		
Beulen Abdallah	Software engineering	Lab	A1.04		
Beunen Eltjo	Reflectie op de digitale cultuur	Lecture	A1.10		
Beunen Eltjo	Reflectie op de digitale cultuur	Lecture	A1.10		
Beunen Eltjo	Reflectie op de digitale cultuur	Tutorial	A1.08	wo	11-13
Beunen Eltjo	Software engineering	Lecture	C0.110		
Beunen Eltjo	Software engineering	Tutorial	A1.04		
Beunen Eltjo	Software engineering	Lab	A1.04		
Bhaggoe Saba	Algoritmen en complexiteit	Lecture	B0.201	ma	13-15
Bhaggoe Saba	Algoritmen en complexiteit	Tutorial	A1.06	ma	15-17
Bhaggoe Saba	Algoritmen en complexiteit	Lab	A1.06	di	9-11
Bhaggoe Saba	Kansrekenen 2	Lecture	C0.110		
Bhaggoe Saba	Kansrekenen 2	Lecture	C0.110		
Bhaggoe Saba	Programmeren in Java 2	Lab	A1.08	di	13-15
Bischoff Ella	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Bischoff Ella	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Bischoff Ella	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Bischoff Ella	Collectieve Intelligentie	Tutorial	A1.08	wo	15-17
Bischoff Ella	Collectieve Intelligentie	Lab	A1.08	vr	15-17
Blijleven Perry	Project Numerical Recipes	Lab	A1.08	vr	11-13
Blik Thyrza	Lineaire Algebra	Lecture	A1.10		
Blik Thyrza	Lineaire Algebra	Lecture	A1.10		
Blikman Jarik	Bioinformatica	Lecture	B0.201	di	9-11
Blikman Jarik	Bioinformatica	Lecture	B0.201	wo	13-15
Blikman Jarik	Bioinformatica	Lecture	B0.201	wo	15-17
Blikman Jarik	Bioinformatica	Tutorial	A1.08	do	9-11
Blikman Jarik	Bioinformatica	Lab	A1.08	do	11-13
Blikman Jarik	Data Mining	Lecture	A1.04		
Blikman Jarik	Data Mining	Lecture	A1.04		
Blikman Jarik	Data Mining	Tutorial	A1.08	do	13-15
Blikman Jarik	Data Mining	Lab	A1.08	vr	9-11
Blikman Jarik	Heuristieken 2	Lecture	A1.04	do	15-17
Blikman Jarik	Heuristieken 2	Tutorial	A1.08	vr	11-13
Blikman Jarik	Interactie-ontwerp	Lecture	A1.04	di	15-17
Blikman Jarik	Interactie-ontwerp	Lecture	A1.04	di	11-13
Blikman Jarik	Netwerken en systeembeveiliging	Lab	A1.08	wo	9-11
Blikman Monika	Analysemethoden en -technieken	Lecture	A1.10	ma	13-15
Blikman Monika	Informatie- en organisatieontwerp	Lecture	A1.06	vr	15-17
Blikman Monika	Informatie- en organisatieontwerp	Lecture	A1.06		
Blikman Monika	Informatie- en organisatieontwerp	Tutorial	A1.08	wo	15-17
Blikman Monika	Informatie- en organisatieontwerp	Lab	A1.08	do	11-13
Blikman Monika	Kansrekenen 2	Lecture	C0.110		
Blikman Monika	Kansrekenen 2	Lecture	C0.110		
Blikman Monika	Netwerken en systeembeveiliging	Lab	A1.08	wo	9-11
Bloemert Marco	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Bloemert Marco	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Bloemert Marco	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Bloemert Marco	Collectieve Intelligentie	Tutorial	A1.08	wo	15-17
Bloemert Marco	Collectieve Intelligentie	Lab	A1.08	vr	15-17
Bloemsma Anjana	Compilerbouw practicum	Lab	A1.08	wo	13-15
Blomsma Guilliano	Project Genetic Algorithms	Lab	A1.08	wo	11-13
Blomsma Guilliano	Webprogrammeren en databases	Lecture	A1.04		
Blomsma Guilliano	Webprogrammeren en databases	Lecture	A1.04		
Blomsma Guilliano	Webprogrammeren en databases	Tutorial	A1.08	wo	13-15
Blomsma Guilliano	Webprogrammeren en databases	Lab	A1.08	wo	15-17
Boateng Lenne	Compilerbouw	Lecture	C0.110	ma	11-13
Boateng Lenne	Compilerbouw	Lecture	C0.110	vr	13-15
Boateng Lenne	Compilerbouw	Tutorial	A1.04	ma	9-11
Boateng Lenne	Compilerbouw	Lab	A1.04		
Boateng Lenne	Machine Learning	Lecture	A1.06		
Boateng Lenne	Machine Learning	Lecture	A1.06		
Boekema Amadou	Compilerbouw	Lecture	C0.110	ma	11-13
Boekema Amadou	Compilerbouw	Lecture	C0.110	vr	13-15
Boekema Amadou	Compilerbouw	Tutorial	A1.04	ma	9-11
Boekema Amadou	Compilerbouw	Lab	A1.04		
Boekema Amadou	Interactie-ontwerp	Lecture	A1.04	di	15-17
Boekema Amadou	Interactie-ontwerp	Lecture	A1.04	di	11-13
Boekema Amadou	Kansrekenen 2	Lecture	C0.110		
Boekema Amadou	Kansrekenen 2	Lecture	C0.110		
Bol Armin	Analysemethoden en -technieken	Lecture	A1.10	ma	13-15
Bol Armin	Project Genetic Algorithms	Lab	A1.08	wo	11-13
Bolding Rayn	Moderne Databases	Lecture	A1.10		
Bolding Rayn	Moderne Databases	Tutorial	A1.08		
Bolding Rayn	Moderne Databases	Lab	A1.08		
Bontenbal Jeremey	Kansrekenen 2	Lecture	C0.110		
Bontenbal Jeremey	Kansrekenen 2	Lecture	C0.110		
Bontenbal Jeremey	Reflectie op de digitale cultuur	Lecture	A1.10		
Bontenbal Jeremey	Reflectie op de digitale cultuur	Lecture	A1.10		
Bontenbal Jeremey	Reflectie op de digitale cultuur	Tutorial	A1.08	wo	11-13
Bood Tariq	Programmeren in Java 2	Lab	A1.08	di	13-15
Boogert Hiba	Calculus 2	Lecture	C0.110	vr	9-11
Boogert Hiba	Calculus 2	Tutorial	A1.04	do	13-15
Boogert Hiba	Netwerken en systeembeveiliging	Lab	A1.08	wo	9-11
Borg Kely	Programmeren in Java 2	Lab	A1.08	di	13-15
Borsboom Ken	Reflectie op de digitale cultuur	Lecture	A1.10		
Borsboom Ken	Reflectie op de digitale cultuur	Lecture	A1.10		
Borsboom Ken	Reflectie op de digitale cultuur	Tutorial	A1.08	wo	11-13
Boshuis Narin	Algoritmen en complexiteit	Lecture	B0.201	ma	13-15
Boshuis Narin	Algoritmen en complexiteit	Tutorial	A1.06	ma	15-17
Boshuis Narin	Algoritmen en complexiteit	Lab	A1.06	di	9-11
Bosman Rudolph	Calculus 2	Lecture	C0.110	vr	9-11
Bosman Rudolph	Calculus 2	Tutorial	A1.04	do	13-15
Boutkan Jael	Calculus 2	Lecture	C0.110	vr	9-11
Boutkan Jael	Calculus 2	Tutorial	A1.04	do	13-15
Boutkan Jael	Zoeken sturen en bewegen	Lab	A1.08	do	15-17
Braamhaar Resi	Zoeken sturen en bewegen	Lab	A1.08	do	15-17
Brans Hanne	Analysemethoden en -technieken	Lecture	A1.10	ma	13-15
Brans Hanne	Reflectie op de digitale cultuur	Lecture	A1.10		
Brans Hanne	Reflectie op de digitale cultuur	Lecture	A1.10		
Brans Hanne	Reflectie op de digitale cultuur	Tutorial	A1.08	wo	11-13
Brans Hanne	Technology for games	Lecture	A1.04		
Brans Hanne	Technology for games	Lecture	A1.04		
Brans Hanne	Technology for games	Tutorial	A1.08	wo	9-11
Brasser Cyrina	Analysemethoden en -technieken	Lecture	A1.10	ma	13-15
Brasser Cyrina	Bioinformatica	Lecture	B0.201	di	9-11
Brasser Cyrina	Bioinformatica	Lecture	B0.201	wo	13-15
Brasser Cyrina	Bioinformatica	Lecture	B0.201	wo	15-17
Brasser Cyrina	Bioinformatica	Tutorial	A1.08	do	9-11
Brasser Cyrina	Bioinformatica	Lab	A1.08	do	11-13
Brasser Cyrina	Project Numerical Recipes	Lab	A1.08	vr	11-13
Brink Femia	Architectuur en computerorganisatie	Lecture	A1.06	di	11-13
Brink Femia	Architectuur en computerorganisatie	Lecture	A1.06	di	13-15
Brink Femia	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Brink Femia	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Brink Femia	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Brink Femia	Collectieve Intelligentie	Tutorial	A1.08	wo	15-17
Brink Femia	Collectieve Intelligentie	Lab	A1.08	vr	15-17
Brink Renze	Calculus 2	Lecture	C0.110	vr	9-11
Brink Renze	Calculus 2	Tutorial	A1.04	do	13-15
Brink Renze	Kansrekenen 2	Lecture	C0.110		
Brink Renze	Kansrekenen 2	Lecture	C0.110		
Brink Renze	Webprogrammeren en databases	Lecture	A1.04		
Brink Renze	Webprogrammeren en databases	Lecture	A1.04		
Brink Renze	Webprogrammeren en databases	Tutorial	A1.08	wo	13-15
Brink Renze	Webprogrammeren en databases	Lab	A1.08	wo	15-17
Brinks Nyncke	Kansrekenen 2	Lecture	C0.110		
Brinks Nyncke	Kansrekenen 2	Lecture	C0.110		
Brinksma Wulfert	Reflectie op de digitale cultuur	Lecture	A1.10		
Brinksma Wulfert	Reflectie op de digitale cultuur	Lecture	A1.10		
Brinksma Wulfert	Reflectie op de digitale cultuur	Tutorial	A1.08	wo	11-13
Broeks Ilyass	Analysemethoden en -technieken	Lecture	A1.10	ma	13-15
Broeks Ilyass	Bioinformatica	Lecture	B0.201	di	9-11
Broeks Ilyass	Bioinformatica	Lecture	B0.201	wo	13-15
Broeks Ilyass	Bioinformatica	Lecture	B0.201	wo	15-17
Broeks Ilyass	Bioinformatica	Tutorial	A1.08	do	9-11
Broeks Ilyass	Bioinformatica	Lab	A1.08	do	11-13
Broeks Ilyass	Zoeken sturen en bewegen	Lab	A1.08	do	15-17
Broer Ethan	Algoritmen en complexiteit	Lecture	B0.201	ma	13-15
Broer Ethan	Algoritmen en complexiteit	Tutorial	A1.06	ma	15-17
Broer Ethan	Algoritmen en complexiteit	Lab	A1.06	di	9-11
Broer Ethan	Kansrekenen 2	Lecture	C0.110		
Broer Ethan	Kansrekenen 2	Lecture	C0.110		
Broer Ethan	Software engineering	Lecture	C0.110		
Broer Ethan	Software engineering	Tutorial	A1.04		
Broer Ethan	Software engineering	Lab	A1.04		
Broerse Tarah	Autonomous Agents 2	Lecture	A1.06	di	15-17
Broerse Tarah	Autonomous Agents 2	Lecture	A1.06	wo	9-11
Broerse Tarah	Autonomous Agents 2	Tutorial	A1.08	di	11-13
Broerse Tarah	Autonomous Agents 2	Lab	A1.08	di	13-15
Broerse Tarah	Lineaire Algebra	Lecture	A1.10		
Broerse Tarah	Lineaire Algebra	Lecture	A1.10		
Bronsema Devlin	Databases 2	Lecture	C0.110		
Bronsema Devlin	Databases 2	Tutorial	A1.04		
Bronsema Devlin	Informatie- en organisatieontwerp	Lecture	A1.06	vr	15-17
Bronsema Devlin	Informatie- en organisatieontwerp	Lecture	A1.06		
Bronsema Devlin	Informatie- en organisatieontwerp	Tutorial	A1.08	wo	15-17
Bronsema Devlin	Informatie- en organisatieontwerp	Lab	A1.08	do	11-13
Bronsema Devlin	Programmeren in Java 2	Lab	A1.08	di	13-15
Bruijnes Sayfeddine	Data Mining	Lecture	A1.04		
Bruijnes Sayfeddine	Data Mining	Lecture	A1.04		
Bruijnes Sayfeddine	Data Mining	Tutorial	A1.08	do	13-15
Bruijnes Sayfeddine	Data Mining	Lab	A1.08	vr	9-11
Bruijnes Sayfeddine	Kansrekenen 2	Lecture	C0.110		
Bruijnes Sayfeddine	Kansrekenen 2	Lecture	C0.110		
Bruijnes Sayfeddine	Lineaire Algebra	Lecture	A1.10		
Bruijnes Sayfeddine	Lineaire Algebra	Lecture	A1.10		
Bruijnes Sayfeddine	Programmeren in Java 2	Lab	A1.08	di	13-15
Brunsveld Virginie	Autonomous Agents 2	Lecture	A1.06	di	15-17
Brunsveld Virginie	Autonomous Agents 2	Lecture	A1.06	wo	9-11
Brunsveld Virginie	Autonomous Agents 2	Tutorial	A1.08	di	11-13
Brunsveld Virginie	Autonomous Agents 2	Lab	A1.08	di	13-15
Brunsveld Virginie	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Brunsveld Virginie	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Brunsveld Virginie	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Brunsveld Virginie	Collectieve Intelligentie	Tutorial	A1.08	wo	15-17
Brunsveld Virginie	Collectieve Intelligentie	Lab	A1.08	vr	15-17
Brunsveld Virginie	Databases 2	Lecture	C0.110		
Brunsveld Virginie	Databases 2	Tutorial	A1.04		
Brunsveld Virginie	Lineaire Algebra	Lecture	A1.10		
Brunsveld Virginie	Lineaire Algebra	Lecture	A1.10		
Brunsveld Virginie	Moderne Databases	Lecture	A1.10		
Brunsveld Virginie	Moderne Databases	Tutorial	A1.08		
Brunsveld Virginie	Moderne Databases	Lab	A1.08		
Brusse Angus	Databases 2	Lecture	C0.110		
Brusse Angus	Databases 2	Tutorial	A1.04		
Brusse Angus	Netwerken en systeembeveiliging	Lab	A1.08	wo	9-11
Budel Allan	Calculus 2	Lecture	C0.110	vr	9-11
Budel Allan	Calculus 2	Tutorial	A1.04	do	13-15
Budel Allan	Heuristieken 2	Lecture	A1.04	do	15-17
Budel Allan	Heuristieken 2	Tutorial	A1.08	vr	11-13
Budel Allan	Project Genetic Algorithms	Lab	A1.08	wo	11-13
Buining Wytske	Algoritmen en complexiteit	Lecture	B0.201	ma	13-15
Buining Wytske	Algoritmen en complexiteit	Tutorial	A1.06	ma	15-17
Buining Wytske	Algoritmen en complexiteit	Lab	A1.06	di	9-11
Buining Wytske	Compilerbouw	Lecture	C0.110	ma	11-13
Buining Wytske	Compilerbouw	Lecture	C0.110	vr	13-15
Buining Wytske	Compilerbouw	Tutorial	A1.04	ma	9-11
Buining Wytske	Compilerbouw	Lab	A1.04		
Buining Wytske	Databases 2	Lecture	C0.110		
Buining Wytske	Databases 2	Tutorial	A1.04		
Buining Wytske	Programmeren in Java 2	Lab	A1.08	di	13-15
Buining Wytske	Reflectie op de digitale cultuur	Lecture	A1.10		
Buining Wytske	Reflectie op de digitale cultuur	Lecture	A1.10		
Buining Wytske	Reflectie op de digitale cultuur	Tutorial	A1.08	wo	11-13
Buizer Rika	Informatie- en organisatieontwerp	Lecture	A1.06	vr	15-17
Buizer Rika	Informatie- en organisatieontwerp	Lecture	A1.06		
Buizer Rika	Informatie- en organisatieontwerp	Tutorial	A1.08	wo	15-17
Buizer Rika	Informatie- en organisatieontwerp	Lab	A1.08	do	11-13
Buizer Rika	Kansrekenen 2	Lecture	C0.110		
Buizer Rika	Kansrekenen 2	Lecture	C0.110		
Buizer Rika	Technology for games	Lecture	A1.04		
Buizer Rika	Technology for games	Lecture	A1.04		
Buizer Rika	Technology for games	Tutorial	A1.08	wo	9-11
Buter Vivianne	Advanced Heuristics	Lecture	A1.08	ma	9-11
Buter Vivianne	Advanced Heuristics	Lab	A1.08	ma	11-13
Buter Vivianne	Calculus 2	Lecture	C0.110	vr	9-11
Buter Vivianne	Calculus 2	Tutorial	A1.04	do	13-15
Buter Vivianne	Heuristieken 1	Lecture	B0.201		
Buter Vivianne	Heuristieken 1	Tutorial	A1.06	vr	13-15
Buter Vivianne	Programmeren in Java 2	Lab	A1.08	di	13-15
Buter Vivianne	Project Numerical Recipes	Lab	A1.08	vr	11-13
Buth Abdl	Architectuur en computerorganisatie	Lecture	A1.06	di	11-13
Buth Abdl	Architectuur en computerorganisatie	Lecture	A1.06	di	13-15
Buth Abdl	Informatie- en organisatieontwerp	Lecture	A1.06	vr	15-17
Buth Abdl	Informatie- en organisatieontwerp	Lecture	A1.06		
Buth Abdl	Informatie- en organisatieontwerp	Tutorial	A1.08	wo	15-17
Buth Abdl	Informatie- en organisatieontwerp	Lab	A1.08	do	11-13
Buurma Donn	Kansrekenen 2	Lecture	C0.110		
