student;vak;activiteit;zaal;dag;tijdslot
etin Samyra;Reflectie op de digitale cultuur Werkcollege 3;Werkcollege;C1.112;do;15-17
etin Samyra;Bioinformatica Practica 2;Practica;B0.201;di;9-11
etin Samyra;Bioinformatica Hoorcollege 2;Hoorcollege;C0.110;vr;15-17
etin Samyra;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
Popma Stephano;Databases 2 Hoorcollege 1;Hoorcollege;C0.110;do;11-13
Popma Stephano;Databases 2 Werkcollege 2;Werkcollege;A1.04;do;9-11
Popma Stephano;Compilerbouw Hoorcollege 2;Hoorcollege;C0.110;di;11-13
Popma Stephano;Architectuur en computerorganisatie Hoorcollege 1;Hoorcollege;A1.10;di;15-17
Popma Stephano;Compilerbouw Werkcollege 2;Werkcollege;A1.10;di;9-11
Popma Stephano;Compilerbouw Practica 1;Practica;B0.201;do;13-15
Popma Stephano;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;di;13-15
Popma Stephano;Architectuur en computerorganisatie Hoorcollege 2;Hoorcollege;A1.10;wo;9-11
van de Bunt Emircan;Compilerbouw Hoorcollege 2;Hoorcollege;C0.110;di;11-13
van de Bunt Emircan;Compilerbouw Practica 1;Practica;B0.201;do;13-15
van de Bunt Emircan;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;di;13-15
van de Bunt Emircan;Compilerbouw Werkcollege 2;Werkcollege;A1.10;di;9-11
Charit Liana;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
Charit Liana;Programmeren in Java 2 Practica 4;Practica;A1.10;vr;9-11
Charit Liana;Reflectie op de digitale cultuur Werkcollege 2;Werkcollege;B0.201;ma;9-11
Charit Liana;Analysemethoden en -technieken Hoorcollege 1;Hoorcollege;C1.112;do;13-15
Charit Liana;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
Postuma Timo;Algoritmen en complexiteit Practica 2;Practica;A1.06;wo;15-17
Postuma Timo;Netwerken en systeembeveiliging Practica 1;Practica;B0.201;di;15-17
Postuma Timo;Programmeren in Java 2 Practica 6;Practica;A1.04;vr;11-13
Postuma Timo;Heuristieken 1 Hoorcollege 1;Hoorcollege;A1.04;ma;13-15
Postuma Timo;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C0.110;ma;17-19
Postuma Timo;Algoritmen en complexiteit Hoorcollege 1;Hoorcollege;C1.112;di;13-15
Postuma Timo;Kansrekenen 2 Hoorcollege 2;Hoorcollege;C0.110;ma;15-17
Postuma Timo;Heuristieken 1 Werkcollege 1;Werkcollege;A1.06;wo;13-15
Postuma Timo;Algoritmen en complexiteit Werkcollege 1;Werkcollege;A1.08;do;15-17
van de Geijn Robbie;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
van de Geijn Robbie;Reflectie op de digitale cultuur Werkcollege 2;Werkcollege;B0.201;ma;9-11
van de Geijn Robbie;Analysemethoden en -technieken Hoorcollege 1;Hoorcollege;C1.112;do;13-15
van de Geijn Robbie;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
Christiaens Yde;Bioinformatica Hoorcollege 3;Hoorcollege;C1.112;ma;9-11
Christiaens Yde;Databases 2 Hoorcollege 1;Hoorcollege;C0.110;do;11-13
Christiaens Yde;Bioinformatica Practica 1;Practica;A1.06;di;15-17
Christiaens Yde;Kansrekenen 2 Hoorcollege 2;Hoorcollege;C0.110;ma;15-17
Christiaens Yde;Bioinformatica Hoorcollege 1;Hoorcollege;C0.110;vr;13-15
Christiaens Yde;Programmeren in Java 2 Practica 2;Practica;A1.08;vr;11-13
Christiaens Yde;Bioinformatica Werkcollege 3;Werkcollege;A1.08;wo;13-15
Christiaens Yde;Databases 2 Werkcollege 2;Werkcollege;A1.04;do;9-11
Christiaens Yde;Calculus 2 Werkcollege 3;Werkcollege;A1.04;ma;11-13
Christiaens Yde;Bioinformatica Hoorcollege 2;Hoorcollege;C0.110;vr;15-17
Christiaens Yde;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
Christiaens Yde;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C0.110;ma;17-19
Potgieter Desire;Algoritmen en complexiteit Practica 2;Practica;A1.06;wo;15-17
Potgieter Desire;Databases 2 Hoorcollege 1;Hoorcollege;C0.110;do;11-13
Potgieter Desire;Algoritmen en complexiteit Hoorcollege 1;Hoorcollege;C1.112;di;13-15
Potgieter Desire;Programmeren in Java 2 Practica 4;Practica;A1.10;vr;9-11
Potgieter Desire;Databases 2 Werkcollege 2;Werkcollege;A1.04;do;9-11
Potgieter Desire;Algoritmen en complexiteit Werkcollege 2;Werkcollege;A1.04;di;15-17
van de Kraats Patryk;Moderne Databases Werkcollege 2;Werkcollege;A1.08;do;9-11
van de Kraats Patryk;Machine Learning Hoorcollege 1;Hoorcollege;A1.04;wo;13-15
van de Kraats Patryk;Moderne Databases Practica 2;Practica;A1.06;di;11-13
van de Kraats Patryk;Machine Learning Hoorcollege 2;Hoorcollege;A1.06;vr;9-11
van de Kraats Patryk;Moderne Databases Hoorcollege 1;Hoorcollege;C1.112;wo;11-13
van de Kraats Patryk;Programmeren in Java 2 Practica 2;Practica;A1.08;vr;11-13
Claassen Hailey;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
Claassen Hailey;Reflectie op de digitale cultuur Werkcollege 3;Werkcollege;C1.112;do;15-17
Claassen Hailey;Software engineering Werkcollege 1;Werkcollege;A1.10;wo;11-13
Claassen Hailey;Analysemethoden en -technieken Hoorcollege 1;Hoorcollege;C1.112;do;13-15
Claassen Hailey;Software engineering Hoorcollege 1;Hoorcollege;C1.112;di;11-13
Claassen Hailey;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
Claassen Hailey;Software engineering Practica 2;Practica;C1.112;di;9-11
Pothuizen Aart;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
Pothuizen Aart;Compilerbouw Practica 1;Practica;B0.201;do;13-15
Pothuizen Aart;Reflectie op de digitale cultuur Werkcollege 1;Werkcollege;B0.201;wo;13-15
Pothuizen Aart;Software engineering Hoorcollege 1;Hoorcollege;C1.112;di;11-13
Pothuizen Aart;Compilerbouw Hoorcollege 2;Hoorcollege;C0.110;di;11-13
Pothuizen Aart;Software engineering Werkcollege 1;Werkcollege;A1.10;wo;11-13
Pothuizen Aart;Compilerbouw Werkcollege 1;Werkcollege;A1.10;do;11-13
Pothuizen Aart;Project Genetic Algorithms Practica 3;Practica;C0.110;do;9-11
Pothuizen Aart;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;di;13-15
Pothuizen Aart;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
Pothuizen Aart;Software engineering Practica 2;Practica;C1.112;di;9-11
van de Kruijs Kamila;Project Numerical Recipes Practica 3;Practica;A1.08;do;13-15
Cleven Seyit;Heuristieken 2 Werkcollege 1;Werkcollege;C0.110;vr;11-13
Cleven Seyit;Heuristieken 2 Hoorcollege 1;Hoorcollege;C1.112;di;15-17
Pothuizen Mink;Programmeren in Java 2 Practica 1;Practica;A1.08;ma;13-15
Pothuizen Mink;Machine Learning Hoorcollege 1;Hoorcollege;A1.04;wo;13-15
Pothuizen Mink;Heuristieken 2 Werkcollege 2;Werkcollege;C1.112;do;11-13
Pothuizen Mink;Machine Learning Hoorcollege 2;Hoorcollege;A1.06;vr;9-11
Pothuizen Mink;Heuristieken 2 Hoorcollege 1;Hoorcollege;C1.112;di;15-17
van de Kruijs Rayen;Compilerbouw Practica 1;Practica;B0.201;do;13-15
van de Kruijs Rayen;Programmeren in Java 2 Practica 1;Practica;A1.08;ma;13-15
van de Kruijs Rayen;Kansrekenen 2 Hoorcollege 2;Hoorcollege;C0.110;ma;15-17
van de Kruijs Rayen;Machine Learning Hoorcollege 1;Hoorcollege;A1.04;wo;13-15
van de Kruijs Rayen;Calculus 2 Werkcollege 2;Werkcollege;A1.10;wo;15-17
van de Kruijs Rayen;Compilerbouw Hoorcollege 2;Hoorcollege;C0.110;di;11-13
van de Kruijs Rayen;Compilerbouw Werkcollege 2;Werkcollege;A1.10;di;9-11
van de Kruijs Rayen;Machine Learning Hoorcollege 2;Hoorcollege;A1.06;vr;9-11
van de Kruijs Rayen;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;di;13-15
van de Kruijs Rayen;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
van de Kruijs Rayen;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C0.110;ma;17-19
Coenen Jorike;Compilerbouw Practica 2;Practica;C0.110;wo;11-13
Coenen Jorike;Compilerbouw Hoorcollege 2;Hoorcollege;C0.110;di;11-13
Coenen Jorike;Compilerbouw Werkcollege 1;Werkcollege;A1.10;do;11-13
Coenen Jorike;Netwerken en systeembeveiliging Practica 3;Practica;A1.06;ma;13-15
Coenen Jorike;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;di;13-15
Coenen Jorike;Project Numerical Recipes Practica 2;Practica;A1.06;vr;13-15
Potman Genesis;Netwerken en systeembeveiliging Practica 3;Practica;A1.06;ma;13-15
van de Kuilen Roswitha;Project Numerical Recipes Practica 3;Practica;A1.08;do;13-15
Cooijmans Laurentia;Collectieve Intelligentie Hoorcollege 2;Hoorcollege;A1.10;do;9-11
Cooijmans Laurentia;Collectieve Intelligentie Hoorcollege 3;Hoorcollege;C1.112;vr;11-13
Cooijmans Laurentia;Calculus 2 Werkcollege 2;Werkcollege;A1.10;wo;15-17
Cooijmans Laurentia;Collectieve Intelligentie Hoorcollege 1;Hoorcollege;C1.112;vr;13-15
Cooijmans Laurentia;Heuristieken 2 Hoorcollege 1;Hoorcollege;C1.112;di;15-17
Cooijmans Laurentia;Collectieve Intelligentie Werkcollege 2;Werkcollege;C1.112;wo;9-11
Cooijmans Laurentia;Heuristieken 2 Werkcollege 2;Werkcollege;C1.112;do;11-13
Cooijmans Laurentia;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
Cooijmans Laurentia;Collectieve Intelligentie Practica 2;Practica;A1.08;wo;11-13
Prevoo Hendrik-Jan;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
Prevoo Hendrik-Jan;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
Prevoo Hendrik-Jan;Reflectie op de digitale cultuur Werkcollege 3;Werkcollege;C1.112;do;15-17
van de Pavert Rudy;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
van de Pavert Rudy;Calculus 2 Werkcollege 3;Werkcollege;A1.04;ma;11-13
Corten Mitzi;Compilerbouw Hoorcollege 2;Hoorcollege;C0.110;di;11-13
Corten Mitzi;Compilerbouw Werkcollege 2;Werkcollege;A1.10;di;9-11
Corten Mitzi;Compilerbouw Practica 1;Practica;B0.201;do;13-15
Corten Mitzi;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;di;13-15
Prinssen Annigje;Moderne Databases Werkcollege 3;Werkcollege;A1.10;wo;13-15
Prinssen Annigje;Moderne Databases Practica 2;Practica;A1.06;di;11-13
Prinssen Annigje;Netwerken en systeembeveiliging Practica 3;Practica;A1.06;ma;13-15
Prinssen Annigje;Moderne Databases Hoorcollege 1;Hoorcollege;C1.112;wo;11-13
van de Pol Shawny;Databases 2 Hoorcollege 1;Hoorcollege;C0.110;do;11-13
van de Pol Shawny;Collectieve Intelligentie Hoorcollege 2;Hoorcollege;A1.10;do;9-11
van de Pol Shawny;Collectieve Intelligentie Hoorcollege 3;Hoorcollege;C1.112;vr;11-13
van de Pol Shawny;Collectieve Intelligentie Werkcollege 1;Werkcollege;A1.08;ma;11-13
van de Pol Shawny;Collectieve Intelligentie Practica 1;Practica;C0.110;vr;9-11
van de Pol Shawny;Bioinformatica Hoorcollege 3;Hoorcollege;C1.112;ma;9-11
van de Pol Shawny;Databases 2 Werkcollege 1;Werkcollege;C0.110;di;9-11
van de Pol Shawny;Lineaire Algebra Hoorcollege 1;Hoorcollege;C1.112;wo;13-15
van de Pol Shawny;Bioinformatica Werkcollege 2;Werkcollege;A1.08;di;11-13
van de Pol Shawny;Bioinformatica Hoorcollege 1;Hoorcollege;C0.110;vr;13-15
van de Pol Shawny;Collectieve Intelligentie Hoorcollege 1;Hoorcollege;C1.112;vr;13-15
van de Pol Shawny;Lineaire Algebra Hoorcollege 2;Hoorcollege;B0.201;wo;11-13
van de Pol Shawny;Bioinformatica Practica 3;Practica;A1.06;ma;11-13
van de Pol Shawny;Bioinformatica Hoorcollege 2;Hoorcollege;C0.110;vr;15-17
Corvers Jildou;Webprogrammeren en databases Hoorcollege 1;Hoorcollege;B0.201;ma;11-13
Corvers Jildou;Webprogrammeren en databases Hoorcollege 2;Hoorcollege;C1.112;ma;13-15
Corvers Jildou;Webprogrammeren en databases Werkcollege 2;Werkcollege;A1.08;ma;15-17
Corvers Jildou;Webprogrammeren en databases Practica 2;Practica;A1.10;vr;11-13
Pruijmboom Javier;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
Pruijmboom Javier;Calculus 2 Werkcollege 3;Werkcollege;A1.04;ma;11-13
van de Ridder Leida;Programmeren in Java 2 Practica 6;Practica;A1.04;vr;11-13
van de Ridder Leida;Bioinformatica Hoorcollege 3;Hoorcollege;C1.112;ma;9-11
van de Ridder Leida;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
van de Ridder Leida;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
van de Ridder Leida;Bioinformatica Werkcollege 1;Werkcollege;A1.10;di;11-13
van de Ridder Leida;Bioinformatica Hoorcollege 1;Hoorcollege;C0.110;vr;13-15
van de Ridder Leida;Calculus 2 Werkcollege 2;Werkcollege;A1.10;wo;15-17
van de Ridder Leida;Reflectie op de digitale cultuur Werkcollege 3;Werkcollege;C1.112;do;15-17
van de Ridder Leida;Bioinformatica Practica 2;Practica;B0.201;di;9-11
van de Ridder Leida;Bioinformatica Hoorcollege 2;Hoorcollege;C0.110;vr;15-17
van de Ridder Leida;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
Cramer Abdelouahid;Netwerken en systeembeveiliging Practica 4;Practica;A1.08;wo;15-17
Putters Andr;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
Putters Andr;Reflectie op de digitale cultuur Werkcollege 1;Werkcollege;B0.201;wo;13-15
Putters Andr;Technology for games Hoorcollege 1;Hoorcollege;C1.112;vr;9-11
Putters Andr;Data Mining Hoorcollege 1;Hoorcollege;B0.201;do;11-13
Putters Andr;Autonomous Agents 2 Hoorcollege 1;Hoorcollege;A1.04;ma;9-11
Putters Andr;Technology for games Hoorcollege 2;Hoorcollege;B0.201;vr;11-13
Putters Andr;Technology for games Werkcollege 1;Werkcollege;A1.06;wo;11-13
Putters Andr;Data Mining Hoorcollege 2;Hoorcollege;C0.110;di;15-17
Putters Andr;Data Mining Werkcollege 1;Werkcollege;A1.08;vr;15-17
Putters Andr;Data Mining Practica 1;Practica;A1.04;vr;13-15
Putters Andr;Autonomous Agents 2 Hoorcollege 2;Hoorcollege;C1.112;ma;11-13
Putters Andr;Heuristieken 1 Hoorcollege 1;Hoorcollege;A1.04;ma;13-15
Putters Andr;Autonomous Agents 2 Werkcollege 3;Werkcollege;A1.06;do;9-11
Putters Andr;Autonomous Agents 2 Practica 2;Practica;C0.110;vr;17-19
Putters Andr;Heuristieken 1 Werkcollege 1;Werkcollege;A1.06;wo;13-15
Putters Andr;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
van de Sanden Jurre;Bioinformatica Hoorcollege 3;Hoorcollege;C1.112;ma;9-11
van de Sanden Jurre;Bioinformatica Practica 1;Practica;A1.06;di;15-17
van de Sanden Jurre;Bioinformatica Hoorcollege 1;Hoorcollege;C0.110;vr;13-15
van de Sanden Jurre;Bioinformatica Werkcollege 3;Werkcollege;A1.08;wo;13-15
van de Sanden Jurre;Bioinformatica Hoorcollege 2;Hoorcollege;C0.110;vr;15-17
van de Sanden Jurre;Netwerken en systeembeveiliging Practica 4;Practica;A1.08;wo;15-17
Cramer Hananja;Software engineering Werkcollege 2;Werkcollege;A1.04;di;13-15
Cramer Hananja;Programmeren in Java 2 Practica 4;Practica;A1.10;vr;9-11
Cramer Hananja;Software engineering Practica 1;Practica;A1.04;di;9-11
Cramer Hananja;Software engineering Hoorcollege 1;Hoorcollege;C1.112;di;11-13
Putters Luciana;Autonomous Agents 2 Werkcollege 3;Werkcollege;A1.06;do;9-11
Putters Luciana;Autonomous Agents 2 Practica 3;Practica;A1.04;vr;9-11
Putters Luciana;Autonomous Agents 2 Hoorcollege 2;Hoorcollege;C1.112;ma;11-13
Putters Luciana;Autonomous Agents 2 Hoorcollege 1;Hoorcollege;A1.04;ma;9-11
van de Wardt Paulette;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
van de Wardt Paulette;Kansrekenen 2 Hoorcollege 2;Hoorcollege;C0.110;ma;15-17
van de Wardt Paulette;Machine Learning Hoorcollege 1;Hoorcollege;A1.04;wo;13-15
van de Wardt Paulette;Reflectie op de digitale cultuur Werkcollege 3;Werkcollege;C1.112;do;15-17
van de Wardt Paulette;Machine Learning Hoorcollege 2;Hoorcollege;A1.06;vr;9-11
van de Wardt Paulette;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
van de Wardt Paulette;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C0.110;ma;17-19
Crombach Jonas;Kansrekenen 2 Hoorcollege 2;Hoorcollege;C0.110;ma;15-17
Crombach Jonas;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C0.110;ma;17-19
Quik Semiha;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
Quik Semiha;Reflectie op de digitale cultuur Werkcollege 1;Werkcollege;B0.201;wo;13-15
Quik Semiha;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
Quik Semiha;Project Numerical Recipes Practica 2;Practica;A1.06;vr;13-15
van den Berg Nanke;Machine Learning Hoorcollege 1;Hoorcollege;A1.04;wo;13-15
van den Berg Nanke;Machine Learning Hoorcollege 2;Hoorcollege;A1.06;vr;9-11
Curfs Gven;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
Curfs Gven;Reflectie op de digitale cultuur Werkcollege 1;Werkcollege;B0.201;wo;13-15
Curfs Gven;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
Raaijmakers Haiko;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
Raaijmakers Haiko;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;wo;15-17
Raaijmakers Haiko;Machine Learning Hoorcollege 1;Hoorcollege;A1.04;wo;13-15
Raaijmakers Haiko;Calculus 2 Werkcollege 2;Werkcollege;A1.10;wo;15-17
Raaijmakers Haiko;Reflectie op de digitale cultuur Werkcollege 2;Werkcollege;B0.201;ma;9-11
Raaijmakers Haiko;Machine Learning Hoorcollege 2;Hoorcollege;A1.06;vr;9-11
Raaijmakers Haiko;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;C0.110;ma;11-13
van den Boer Btissam;Technology for games Hoorcollege 2;Hoorcollege;B0.201;vr;11-13
van den Boer Btissam;Technology for games Werkcollege 1;Werkcollege;A1.06;wo;11-13
van den Boer Btissam;Technology for games Hoorcollege 1;Hoorcollege;C1.112;vr;9-11
van den Boer Btissam;Kansrekenen 2 Hoorcollege 2;Hoorcollege;C0.110;ma;15-17
van den Boer Btissam;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C0.110;ma;17-19
Curvers Everhard;Informatie- en organisatieontwerp Practica 2;Practica;A1.10;di;13-15
Curvers Everhard;Informatie- en organisatieontwerp Hoorcollege 1;Hoorcollege;C0.110;do;13-15
Curvers Everhard;Informatie- en organisatieontwerp Hoorcollege 2;Hoorcollege;A1.04;do;15-17
Curvers Everhard;Informatie- en organisatieontwerp Werkcollege 2;Werkcollege;A1.08;vr;13-15
Ramcharan Erdal;Databases 2 Hoorcollege 1;Hoorcollege;C0.110;do;11-13
Ramcharan Erdal;Databases 2 Werkcollege 1;Werkcollege;C0.110;di;9-11
Ramcharan Erdal;Project Genetic Algorithms Practica 1;Practica;A1.04;wo;9-11
van den Born Enrique;Informatie- en organisatieontwerp Practica 2;Practica;A1.10;di;13-15
van den Born Enrique;Technology for games Hoorcollege 2;Hoorcollege;B0.201;vr;11-13
van den Born Enrique;Technology for games Werkcollege 1;Werkcollege;A1.06;wo;11-13
van den Born Enrique;Informatie- en organisatieontwerp Hoorcollege 1;Hoorcollege;C0.110;do;13-15
van den Born Enrique;Technology for games Hoorcollege 1;Hoorcollege;C1.112;vr;9-11
van den Born Enrique;Compilerbouw practicum Practica 3;Practica;A1.08;di;15-17
van den Born Enrique;Informatie- en organisatieontwerp Hoorcollege 2;Hoorcollege;A1.04;do;15-17
van den Born Enrique;Informatie- en organisatieontwerp Werkcollege 1;Werkcollege;A1.08;wo;9-11
Daams Amlie;Programmeren in Java 2 Practica 6;Practica;A1.04;vr;11-13
Daams Amlie;Heuristieken 2 Werkcollege 2;Werkcollege;C1.112;do;11-13
Daams Amlie;Heuristieken 2 Hoorcollege 1;Hoorcollege;C1.112;di;15-17
Reek Adisa;Webprogrammeren en databases Hoorcollege 1;Hoorcollege;B0.201;ma;11-13
Reek Adisa;Programmeren in Java 2 Practica 6;Practica;A1.04;vr;11-13
Reek Adisa;Webprogrammeren en databases Hoorcollege 2;Hoorcollege;C1.112;ma;13-15
Reek Adisa;Webprogrammeren en databases Practica 1;Practica;C0.110;ma;9-11
Reek Adisa;Webprogrammeren en databases Werkcollege 2;Werkcollege;A1.08;ma;15-17
van den Eijnde Cyrano;Lineaire Algebra Hoorcollege 1;Hoorcollege;C1.112;wo;13-15
van den Eijnde Cyrano;Kansrekenen 2 Hoorcollege 2;Hoorcollege;C0.110;ma;15-17
van den Eijnde Cyrano;Lineaire Algebra Hoorcollege 2;Hoorcollege;B0.201;wo;11-13
