student;vak;activiteit;zaal;dag;tijdslot
Buining Wytske;Programmeren in Java 2 Practica 3;Practica;A1.04;vr;9-11
Buining Wytske;Reflectie op de digitale cultuur Werkcollege 1;Werkcollege;A1.08;ma;15-17
Buining Wytske;Algoritmen en complexiteit Practica 1;Practica;A1.04;vr;15-17
Buining Wytske;Compilerbouw Practica 1;Practica;C0.110;vr;13-15
Buining Wytske;Compilerbouw Werkcollege 1;Werkcollege;A1.06;ma;13-15
Buining Wytske;Algoritmen en complexiteit Werkcollege 2;Werkcollege;A1.04;wo;13-15
Buining Wytske;Algoritmen en complexiteit Hoorcollege 1;Hoorcollege;C0.110;ma;15-17
Buining Wytske;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;B0.201;di;11-13
Heijman Berdina;Project Genetic Algorithms Practica 3;Practica;C0.110;do;13-15
Heijman Berdina;Netwerken en systeembeveiliging Practica 1;Practica;C0.110;vr;9-11
Heijman Berdina;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C1.112;vr;13-15
Heijman Berdina;Kansrekenen 2 Hoorcollege 2;Hoorcollege;A1.10;vr;15-17
van Halteren Walther;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C1.112;vr;13-15
van Halteren Walther;Technology for games Hoorcollege 2;Hoorcollege;A1.04;do;15-17
van Halteren Walther;Technology for games Werkcollege 1;Werkcollege;A1.04;vr;13-15
van Halteren Walther;Technology for games Hoorcollege 1;Hoorcollege;C1.112;ma;9-11
van Halteren Walther;Kansrekenen 2 Hoorcollege 2;Hoorcollege;A1.10;vr;15-17
Buizer Rika;Informatie- en organisatieontwerp Hoorcollege 2;Hoorcollege;C0.110;ma;11-13
Buizer Rika;Informatie- en organisatieontwerp Practica 1;Practica;C0.110;vr;15-17
Buizer Rika;Informatie- en organisatieontwerp Werkcollege 2;Werkcollege;B0.201;vr;9-11
Buizer Rika;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C1.112;vr;13-15
Buizer Rika;Informatie- en organisatieontwerp Hoorcollege 1;Hoorcollege;C1.112;vr;11-13
Buizer Rika;Technology for games Hoorcollege 2;Hoorcollege;A1.04;do;15-17
Buizer Rika;Technology for games Werkcollege 1;Werkcollege;A1.04;vr;13-15
Buizer Rika;Technology for games Hoorcollege 1;Hoorcollege;C1.112;ma;9-11
Buizer Rika;Kansrekenen 2 Hoorcollege 2;Hoorcollege;A1.10;vr;15-17
Heijnen Guus;Project Numerical Recipes Practica 2;Practica;A1.10;vr;9-11
Heijnen Guus;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;vr;11-13
Heijnen Guus;Calculus 2 Werkcollege 3;Werkcollege;A1.06;do;11-13
van Herten Tamimount;Autonomous Agents 2 Hoorcollege 1;Hoorcollege;B0.201;do;9-11
van Herten Tamimount;Autonomous Agents 2 Hoorcollege 2;Hoorcollege;A1.08;ma;13-15
van Herten Tamimount;Autonomous Agents 2 Werkcollege 1;Werkcollege;A1.08;ma;11-13
van Herten Tamimount;Zoeken sturen en bewegen Practica 3;Practica;A1.06;wo;11-13
van Herten Tamimount;Autonomous Agents 2 Practica 2;Practica;C1.112;wo;15-17
Buter Vivianne;Calculus 2 Werkcollege 1;Werkcollege;A1.08;di;15-17
Buter Vivianne;Advanced Heuristics Hoorcollege 1;Hoorcollege;A1.08;di;9-11
Buter Vivianne;Heuristieken 1 Hoorcollege 1;Hoorcollege;A1.06;di;15-17
Buter Vivianne;Programmeren in Java 2 Practica 6;Practica;A1.08;ma;9-11
Buter Vivianne;Project Numerical Recipes Practica 2;Practica;A1.10;vr;9-11
Buter Vivianne;Heuristieken 1 Werkcollege 1;Werkcollege;A1.08;do;13-15
Buter Vivianne;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;vr;11-13
Buter Vivianne;Advanced Heuristics Practica 1;Practica;A1.04;vr;11-13
Heikoop Rosali;Netwerken en systeembeveiliging Practica 2;Practica;B0.201;wo;15-17
Heikoop Rosali;Software engineering Werkcollege 1;Werkcollege;A1.08;di;11-13
Heikoop Rosali;Software engineering Hoorcollege 1;Hoorcollege;A1.06;ma;15-17
Heikoop Rosali;Software engineering Practica 2;Practica;C0.110;ma;17-19
Heikoop Rosali;Programmeren in Java 2 Practica 3;Practica;A1.04;vr;9-11
van Hezik Shauny;Zoeken sturen en bewegen Practica 1;Practica;B0.201;ma;13-15
van Hezik Shauny;Kansrekenen 2 Hoorcollege 2;Hoorcollege;A1.10;vr;15-17
van Hezik Shauny;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C1.112;vr;13-15
Buth Abdl;Informatie- en organisatieontwerp Hoorcollege 2;Hoorcollege;C0.110;ma;11-13
Buth Abdl;Informatie- en organisatieontwerp Werkcollege 1;Werkcollege;A1.08;vr;15-17
Buth Abdl;Architectuur en computerorganisatie Hoorcollege 2;Hoorcollege;A1.10;wo;13-15
Buth Abdl;Informatie- en organisatieontwerp Practica 1;Practica;C0.110;vr;15-17
Buth Abdl;Informatie- en organisatieontwerp Hoorcollege 1;Hoorcollege;C1.112;vr;11-13
Buth Abdl;Architectuur en computerorganisatie Hoorcollege 1;Hoorcollege;A1.04;do;11-13
Heller Mahmud;Data Mining Hoorcollege 2;Hoorcollege;C0.110;do;9-11
Heller Mahmud;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;do;11-13
Heller Mahmud;Data Mining Practica 1;Practica;A1.04;ma;9-11
Heller Mahmud;Data Mining Werkcollege 2;Werkcollege;A1.10;do;9-11
Heller Mahmud;Reflectie op de digitale cultuur Werkcollege 2;Werkcollege;A1.08;vr;11-13
Heller Mahmud;Data Mining Hoorcollege 1;Hoorcollege;A1.10;do;13-15
Heller Mahmud;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;B0.201;di;11-13
van Ierland Nalinie;Webprogrammeren en databases Werkcollege 2;Werkcollege;C0.110;wo;15-17
van Ierland Nalinie;Webprogrammeren en databases Hoorcollege 1;Hoorcollege;B0.201;ma;9-11
van Ierland Nalinie;Webprogrammeren en databases Practica 2;Practica;A1.10;ma;11-13
van Ierland Nalinie;Webprogrammeren en databases Hoorcollege 2;Hoorcollege;C1.112;ma;13-15
Buurma Donn;Reflectie op de digitale cultuur Werkcollege 2;Werkcollege;A1.08;vr;11-13
Buurma Donn;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C1.112;vr;13-15
Buurma Donn;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;do;11-13
Buurma Donn;Kansrekenen 2 Hoorcollege 2;Hoorcollege;A1.10;vr;15-17
Buurma Donn;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;B0.201;di;11-13
Hijdra Sergio;Interactie-ontwerp Hoorcollege 1;Hoorcollege;A1.04;ma;11-13
Hijdra Sergio;Interactie-ontwerp Hoorcollege 2;Hoorcollege;A1.10;di;9-11
Hijdra Sergio;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;vr;11-13
Hijdra Sergio;Calculus 2 Werkcollege 3;Werkcollege;A1.06;do;11-13
van Ingen Berit;Algoritmen en complexiteit Werkcollege 2;Werkcollege;A1.04;wo;13-15
van Ingen Berit;Interactie-ontwerp Hoorcollege 2;Hoorcollege;A1.10;di;9-11
van Ingen Berit;Zoeken sturen en bewegen Practica 1;Practica;B0.201;ma;13-15
van Ingen Berit;Algoritmen en complexiteit Practica 2;Practica;A1.06;wo;15-17
van Ingen Berit;Interactie-ontwerp Hoorcollege 1;Hoorcollege;A1.04;ma;11-13
van Ingen Berit;Algoritmen en complexiteit Hoorcollege 1;Hoorcollege;C0.110;ma;15-17
Caris Lucienne;Compilerbouw Practica 2;Practica;A1.10;wo;11-13
Caris Lucienne;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
Caris Lucienne;Compilerbouw Hoorcollege 2;Hoorcollege;B0.201;vr;11-13
Caris Lucienne;Algoritmen en complexiteit Werkcollege 2;Werkcollege;A1.04;wo;13-15
Caris Lucienne;Technology for games Hoorcollege 1;Hoorcollege;C1.112;ma;9-11
Caris Lucienne;Technology for games Hoorcollege 2;Hoorcollege;A1.04;do;15-17
Caris Lucienne;Algoritmen en complexiteit Practica 1;Practica;A1.04;vr;15-17
Caris Lucienne;Compilerbouw Werkcollege 2;Werkcollege;C1.112;ma;11-13
Caris Lucienne;Technology for games Werkcollege 2;Werkcollege;A1.06;vr;15-17
Caris Lucienne;Algoritmen en complexiteit Hoorcollege 1;Hoorcollege;C0.110;ma;15-17
Hilhorst Bo;Lineaire Algebra Hoorcollege 2;Hoorcollege;C1.112;vr;9-11
Hilhorst Bo;Autonomous Agents 2 Hoorcollege 1;Hoorcollege;B0.201;do;9-11
Hilhorst Bo;Autonomous Agents 2 Practica 3;Practica;A1.06;di;13-15
Hilhorst Bo;Autonomous Agents 2 Hoorcollege 2;Hoorcollege;A1.08;ma;13-15
Hilhorst Bo;Autonomous Agents 2 Werkcollege 1;Werkcollege;A1.08;ma;11-13
Hilhorst Bo;Lineaire Algebra Hoorcollege 1;Hoorcollege;C0.110;di;15-17
van Iwaarden Aidan;Compilerbouw Practica 2;Practica;A1.10;wo;11-13
van Iwaarden Aidan;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
van Iwaarden Aidan;Compilerbouw Hoorcollege 2;Hoorcollege;B0.201;vr;11-13
van Iwaarden Aidan;Programmeren in Java 2 Practica 4;Practica;A1.08;wo;9-11
van Iwaarden Aidan;Compilerbouw Werkcollege 2;Werkcollege;C1.112;ma;11-13
etin Samyra;Reflectie op de digitale cultuur Werkcollege 2;Werkcollege;A1.08;vr;11-13
etin Samyra;Bioinformatica Hoorcollege 2;Hoorcollege;A1.06;di;11-13
etin Samyra;Bioinformatica Hoorcollege 3;Hoorcollege;B0.201;ma;11-13
etin Samyra;Bioinformatica Hoorcollege 1;Hoorcollege;A1.06;wo;13-15
etin Samyra;Bioinformatica Werkcollege 1;Werkcollege;C0.110;wo;11-13
etin Samyra;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;do;11-13
etin Samyra;Programmeren in Java 2 Practica 5;Practica;B0.201;di;15-17
etin Samyra;Bioinformatica Practica 3;Practica;C0.110;ma;9-11
etin Samyra;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;B0.201;di;11-13
Hoeksema Dana;Compilerbouw Practica 2;Practica;A1.10;wo;11-13
Hoeksema Dana;Machine Learning Hoorcollege 2;Hoorcollege;C1.112;di;9-11
Hoeksema Dana;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
Hoeksema Dana;Architectuur en computerorganisatie Hoorcollege 2;Hoorcollege;A1.10;wo;13-15
Hoeksema Dana;Compilerbouw Hoorcollege 2;Hoorcollege;B0.201;vr;11-13
Hoeksema Dana;Compilerbouw Werkcollege 1;Werkcollege;A1.06;ma;13-15
Hoeksema Dana;Architectuur en computerorganisatie Hoorcollege 1;Hoorcollege;A1.04;do;11-13
Hoeksema Dana;Machine Learning Hoorcollege 1;Hoorcollege;B0.201;wo;11-13
van Kalsbeek Ciske;Data Mining Practica 3;Practica;A1.10;do;15-17
van Kalsbeek Ciske;Netwerken en systeembeveiliging Practica 2;Practica;B0.201;wo;15-17
van Kalsbeek Ciske;Data Mining Hoorcollege 2;Hoorcollege;C0.110;do;9-11
van Kalsbeek Ciske;Data Mining Werkcollege 2;Werkcollege;A1.10;do;9-11
van Kalsbeek Ciske;Data Mining Hoorcollege 1;Hoorcollege;A1.10;do;13-15
Charit Liana;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;do;11-13
Charit Liana;Analysemethoden en -technieken Hoorcollege 1;Hoorcollege;A1.04;do;9-11
Charit Liana;Programmeren in Java 2 Practica 5;Practica;B0.201;di;15-17
Charit Liana;Reflectie op de digitale cultuur Werkcollege 3;Werkcollege;A1.06;ma;9-11
Charit Liana;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;B0.201;di;11-13
Hoenderdos Sverre;Analysemethoden en -technieken Hoorcollege 1;Hoorcollege;A1.04;do;9-11
van Kasteel Ycel;Software engineering Werkcollege 1;Werkcollege;A1.08;di;11-13
van Kasteel Ycel;Software engineering Hoorcollege 1;Hoorcollege;A1.06;ma;15-17
van Kasteel Ycel;Calculus 2 Werkcollege 2;Werkcollege;C0.110;di;11-13
van Kasteel Ycel;Zoeken sturen en bewegen Practica 3;Practica;A1.06;wo;11-13
van Kasteel Ycel;Software engineering Practica 2;Practica;C0.110;ma;17-19
van Kasteel Ycel;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;vr;11-13
Christiaens Yde;Databases 2 Hoorcollege 1;Hoorcollege;A1.10;vr;11-13
Christiaens Yde;Databases 2 Werkcollege 1;Werkcollege;C0.110;do;11-13
Christiaens Yde;Bioinformatica Hoorcollege 2;Hoorcollege;A1.06;di;11-13
Christiaens Yde;Bioinformatica Hoorcollege 3;Hoorcollege;B0.201;ma;11-13
Christiaens Yde;Bioinformatica Hoorcollege 1;Hoorcollege;A1.06;wo;13-15
Christiaens Yde;Calculus 2 Werkcollege 2;Werkcollege;C0.110;di;11-13
Christiaens Yde;Programmeren in Java 2 Practica 6;Practica;A1.08;ma;9-11
Christiaens Yde;Bioinformatica Practica 1;Practica;A1.04;di;9-11
Christiaens Yde;Kansrekenen 2 Hoorcollege 1;Hoorcollege;C1.112;vr;13-15
Christiaens Yde;Bioinformatica Werkcollege 3;Werkcollege;A1.04;di;11-13
Christiaens Yde;Kansrekenen 2 Hoorcollege 2;Hoorcollege;A1.10;vr;15-17
Christiaens Yde;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;vr;11-13
Hofman Anne-Jet;Webprogrammeren en databases Werkcollege 2;Werkcollege;C0.110;wo;15-17
Hofman Anne-Jet;Webprogrammeren en databases Practica 1;Practica;A1.06;vr;13-15
Hofman Anne-Jet;Webprogrammeren en databases Hoorcollege 1;Hoorcollege;B0.201;ma;9-11
Hofman Anne-Jet;Webprogrammeren en databases Hoorcollege 2;Hoorcollege;C1.112;ma;13-15
van Kessel Romany;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;vr;11-13
van Kessel Romany;Calculus 2 Werkcollege 1;Werkcollege;A1.08;di;15-17
Claassen Hailey;Software engineering Hoorcollege 1;Hoorcollege;A1.06;ma;15-17
Claassen Hailey;Software engineering Werkcollege 2;Werkcollege;A1.10;wo;15-17
Claassen Hailey;Software engineering Practica 2;Practica;C0.110;ma;17-19
Claassen Hailey;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;do;11-13
Claassen Hailey;Analysemethoden en -technieken Hoorcollege 1;Hoorcollege;A1.04;do;9-11
Claassen Hailey;Reflectie op de digitale cultuur Werkcollege 2;Werkcollege;A1.08;vr;11-13
Claassen Hailey;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;B0.201;di;11-13
Holstein Johanne;Compilerbouw practicum Practica 3;Practica;B0.201;di;9-11
Holstein Johanne;Netwerken en systeembeveiliging Practica 2;Practica;B0.201;wo;15-17
van Kommer Demelza;Lineaire Algebra Hoorcollege 2;Hoorcollege;C1.112;vr;9-11
van Kommer Demelza;Bioinformatica Hoorcollege 2;Hoorcollege;A1.06;di;11-13
van Kommer Demelza;Bioinformatica Hoorcollege 3;Hoorcollege;B0.201;ma;11-13
van Kommer Demelza;Bioinformatica Hoorcollege 1;Hoorcollege;A1.06;wo;13-15
van Kommer Demelza;Calculus 2 Werkcollege 2;Werkcollege;C0.110;di;11-13
van Kommer Demelza;Bioinformatica Practica 1;Practica;A1.04;di;9-11
van Kommer Demelza;Bioinformatica Werkcollege 2;Werkcollege;A1.10;ma;9-11
van Kommer Demelza;Lineaire Algebra Hoorcollege 1;Hoorcollege;C0.110;di;15-17
van Kommer Demelza;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;vr;11-13
Cleven Seyit;Heuristieken 2 Werkcollege 1;Werkcollege;A1.04;wo;11-13
Cleven Seyit;Heuristieken 2 Hoorcollege 1;Hoorcollege;C1.112;wo;13-15
Holt Nesrin;Project Genetic Algorithms Practica 2;Practica;C0.110;ma;13-15
Holt Nesrin;Databases 2 Hoorcollege 1;Hoorcollege;A1.10;vr;11-13
Holt Nesrin;Databases 2 Werkcollege 1;Werkcollege;C0.110;do;11-13
van Leussen Seval;Reflectie op de digitale cultuur Hoorcollege 2;Hoorcollege;C1.112;do;11-13
van Leussen Seval;Reflectie op de digitale cultuur Werkcollege 2;Werkcollege;A1.08;vr;11-13
van Leussen Seval;Reflectie op de digitale cultuur Hoorcollege 1;Hoorcollege;B0.201;di;11-13
Coenen Jorike;Netwerken en systeembeveiliging Practica 2;Practica;B0.201;wo;15-17
Coenen Jorike;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
Coenen Jorike;Project Numerical Recipes Practica 2;Practica;A1.10;vr;9-11
Coenen Jorike;Compilerbouw Hoorcollege 2;Hoorcollege;B0.201;vr;11-13
Coenen Jorike;Compilerbouw Werkcollege 1;Werkcollege;A1.06;ma;13-15
Coenen Jorike;Compilerbouw Practica 1;Practica;C0.110;vr;13-15
Holtkamp Florus;Programmeren in Java 2 Practica 4;Practica;A1.08;wo;9-11
Holtkamp Florus;Analysemethoden en -technieken Hoorcollege 1;Hoorcollege;A1.04;do;9-11
van Lingen Ruveyda;Advanced Heuristics Hoorcollege 1;Hoorcollege;A1.08;di;9-11
van Lingen Ruveyda;Netwerken en systeembeveiliging Practica 3;Practica;A1.04;di;13-15
van Lingen Ruveyda;Architectuur en computerorganisatie Hoorcollege 2;Hoorcollege;A1.10;wo;13-15
van Lingen Ruveyda;Project Numerical Recipes Practica 1;Practica;A1.08;do;11-13
van Lingen Ruveyda;Architectuur en computerorganisatie Hoorcollege 1;Hoorcollege;A1.04;do;11-13
van Lingen Ruveyda;Advanced Heuristics Practica 1;Practica;A1.04;vr;11-13
Cooijmans Laurentia;Collectieve Intelligentie Werkcollege 2;Werkcollege;A1.06;wo;9-11
Cooijmans Laurentia;Calculus 2 Werkcollege 2;Werkcollege;C0.110;di;11-13
Cooijmans Laurentia;Heuristieken 2 Hoorcollege 1;Hoorcollege;C1.112;wo;13-15
Cooijmans Laurentia;Collectieve Intelligentie Hoorcollege 2;Hoorcollege;C1.112;wo;11-13
Cooijmans Laurentia;Collectieve Intelligentie Hoorcollege 3;Hoorcollege;B0.201;vr;13-15
Cooijmans Laurentia;Collectieve Intelligentie Practica 1;Practica;A1.04;wo;15-17
Cooijmans Laurentia;Collectieve Intelligentie Hoorcollege 1;Hoorcollege;A1.10;wo;9-11
Cooijmans Laurentia;Heuristieken 2 Werkcollege 1;Werkcollege;A1.04;wo;11-13
Cooijmans Laurentia;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;vr;11-13
Hoogerbrugge Christal;Webprogrammeren en databases Werkcollege 1;Werkcollege;B0.201;vr;15-17
Hoogerbrugge Christal;Webprogrammeren en databases Practica 1;Practica;A1.06;vr;13-15
Hoogerbrugge Christal;Software engineering Hoorcollege 1;Hoorcollege;A1.06;ma;15-17
Hoogerbrugge Christal;Architectuur en computerorganisatie Hoorcollege 2;Hoorcollege;A1.10;wo;13-15
Hoogerbrugge Christal;Software engineering Werkcollege 2;Werkcollege;A1.10;wo;15-17
Hoogerbrugge Christal;Webprogrammeren en databases Hoorcollege 1;Hoorcollege;B0.201;ma;9-11
Hoogerbrugge Christal;Software engineering Practica 2;Practica;C0.110;ma;17-19
Hoogerbrugge Christal;Architectuur en computerorganisatie Hoorcollege 1;Hoorcollege;A1.04;do;11-13
Hoogerbrugge Christal;Webprogrammeren en databases Hoorcollege 2;Hoorcollege;C1.112;ma;13-15
van Lingen Touraya;Data Mining Hoorcollege 2;Hoorcollege;C0.110;do;9-11
van Lingen Touraya;Data Mining Werkcollege 1;Werkcollege;B0.201;do;13-15
van Lingen Touraya;Data Mining Hoorcollege 1;Hoorcollege;A1.10;do;13-15
van Lingen Touraya;Data Mining Practica 2;Practica;C1.112;wo;9-11
Corten Mitzi;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
Corten Mitzi;Compilerbouw Hoorcollege 2;Hoorcollege;B0.201;vr;11-13
Corten Mitzi;Compilerbouw Practica 1;Practica;C0.110;vr;13-15
Corten Mitzi;Compilerbouw Werkcollege 2;Werkcollege;C1.112;ma;11-13
Hooijmaijers Esme;Autonomous Agents 2 Hoorcollege 1;Hoorcollege;B0.201;do;9-11
Hooijmaijers Esme;Software engineering Werkcollege 1;Werkcollege;A1.08;di;11-13
Hooijmaijers Esme;Software engineering Practica 1;Practica;A1.08;do;15-17
Hooijmaijers Esme;Software engineering Hoorcollege 1;Hoorcollege;A1.06;ma;15-17
Hooijmaijers Esme;Project Numerical Recipes Practica 2;Practica;A1.10;vr;9-11
Hooijmaijers Esme;Autonomous Agents 2 Hoorcollege 2;Hoorcollege;A1.08;ma;13-15
Hooijmaijers Esme;Autonomous Agents 2 Werkcollege 1;Werkcollege;A1.08;ma;11-13
Hooijmaijers Esme;Autonomous Agents 2 Practica 2;Practica;C1.112;wo;15-17
van Loon Harwin;Databases 2 Hoorcollege 1;Hoorcollege;A1.10;vr;11-13
van Loon Harwin;Databases 2 Werkcollege 1;Werkcollege;C0.110;do;11-13
van Loon Harwin;Collectieve Intelligentie Werkcollege 2;Werkcollege;A1.06;wo;9-11
van Loon Harwin;Technology for games Werkcollege 2;Werkcollege;A1.06;vr;15-17
van Loon Harwin;Compilerbouw practicum Practica 3;Practica;B0.201;di;9-11
van Loon Harwin;Collectieve Intelligentie Practica 3;Practica;A1.06;do;13-15
van Loon Harwin;Collectieve Intelligentie Hoorcollege 2;Hoorcollege;C1.112;wo;11-13
van Loon Harwin;Collectieve Intelligentie Hoorcollege 3;Hoorcollege;B0.201;vr;13-15
van Loon Harwin;Technology for games Hoorcollege 1;Hoorcollege;C1.112;ma;9-11
van Loon Harwin;Technology for games Hoorcollege 2;Hoorcollege;A1.04;do;15-17
van Loon Harwin;Collectieve Intelligentie Hoorcollege 1;Hoorcollege;A1.10;wo;9-11
Corvers Jildou;Webprogrammeren en databases Werkcollege 2;Werkcollege;C0.110;wo;15-17
Corvers Jildou;Webprogrammeren en databases Hoorcollege 1;Hoorcollege;B0.201;ma;9-11
Corvers Jildou;Webprogrammeren en databases Practica 2;Practica;A1.10;ma;11-13
Corvers Jildou;Webprogrammeren en databases Hoorcollege 2;Hoorcollege;C1.112;ma;13-15
Hooiveld Michal;Data Mining Practica 3;Practica;A1.10;do;15-17
Hooiveld Michal;Data Mining Hoorcollege 2;Hoorcollege;C0.110;do;9-11
Hooiveld Michal;Data Mining Werkcollege 2;Werkcollege;A1.10;do;9-11
Hooiveld Michal;Data Mining Hoorcollege 1;Hoorcollege;A1.10;do;13-15
van Loveren Lammigje;Autonomous Agents 2 Hoorcollege 1;Hoorcollege;B0.201;do;9-11
van Loveren Lammigje;Databases 2 Hoorcollege 1;Hoorcollege;A1.10;vr;11-13
van Loveren Lammigje;Databases 2 Werkcollege 1;Werkcollege;C0.110;do;11-13
van Loveren Lammigje;Machine Learning Hoorcollege 2;Hoorcollege;C1.112;di;9-11
van Loveren Lammigje;Compilerbouw Hoorcollege 1;Hoorcollege;C0.110;wo;13-15
van Loveren Lammigje;Autonomous Agents 2 Hoorcollege 2;Hoorcollege;A1.08;ma;13-15
van Loveren Lammigje;Autonomous Agents 2 Werkcollege 1;Werkcollege;A1.08;ma;11-13
van Loveren Lammigje;Compilerbouw Hoorcollege 2;Hoorcollege;B0.201;vr;11-13
van Loveren Lammigje;Programmeren in Java 2 Practica 2;Practica;C1.112;do;9-11
van Loveren Lammigje;Compilerbouw Practica 1;Practica;C0.110;vr;13-15
van Loveren Lammigje;Compilerbouw Werkcollege 2;Werkcollege;C1.112;ma;11-13
van Loveren Lammigje;Machine Learning Hoorcollege 1;Hoorcollege;B0.201;wo;11-13
van Loveren Lammigje;Autonomous Agents 2 Practica 2;Practica;C1.112;wo;15-17
Cramer Abdelouahid;Netwerken en systeembeveiliging Practica 3;Practica;A1.04;di;13-15
Hoornstra Catherine;Lineaire Algebra Hoorcollege 2;Hoorcollege;C1.112;vr;9-11
Hoornstra Catherine;Architectuur en computerorganisatie Hoorcollege 2;Hoorcollege;A1.10;wo;13-15
Hoornstra Catherine;Calculus 2 Werkcollege 3;Werkcollege;A1.06;do;11-13
Hoornstra Catherine;Technology for games Hoorcollege 1;Hoorcollege;C1.112;ma;9-11
Hoornstra Catherine;Technology for games Hoorcollege 2;Hoorcollege;A1.04;do;15-17
Hoornstra Catherine;Technology for games Werkcollege 1;Werkcollege;A1.04;vr;13-15
Hoornstra Catherine;Lineaire Algebra Hoorcollege 1;Hoorcollege;C0.110;di;15-17
Hoornstra Catherine;Architectuur en computerorganisatie Hoorcollege 1;Hoorcollege;A1.04;do;11-13
Hoornstra Catherine;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;vr;11-13
van Luttikhuizen Fae;Calculus 2 Werkcollege 2;Werkcollege;C0.110;di;11-13
van Luttikhuizen Fae;Calculus 2 Hoorcollege 1;Hoorcollege;C0.110;vr;11-13
van Luttikhuizen Fae;Analysemethoden en -technieken Hoorcollege 1;Hoorcollege;A1.04;do;9-11
Cramer Hananja;Software engineering Practica 1;Practica;A1.08;do;15-17
Cramer Hananja;Software engineering Hoorcollege 1;Hoorcollege;A1.06;ma;15-17
Cramer Hananja;Software engineering Werkcollege 2;Werkcollege;A1.10;wo;15-17
Cramer Hananja;Programmeren in Java 2 Practica 1;Practica;C1.112;di;13-15
