student;vak;activiteit;zaal;dag;tijdslot
Hartevelt Ervin;Reflectie op de digitale cultuur Tutorial 1;Tutorial;A1.10;do;13-15
Groote Rijkje;Calculus 2 Lecture 1;Lecture;C0.110;wo;13-15
Groote Rijkje;Calculus 2 Tutorial 1;Tutorial;C0.110;ma;15-17
Groote Rijkje;Interactie-ontwerp Lecture 1;Lecture;A1.04;di;11-13
Groote Rijkje;Interactie-ontwerp Lecture 2;Lecture;A1.04;di;9-11
Groote Rijkje;Software engineering Lecture 1;Lecture;C0.110;di;11-13
Groote Rijkje;Software engineering Tutorial 2;Tutorial;A1.10;ma;13-15
Groote Rijkje;Software engineering Lab 2;Lab;B0.201;di;9-11
Gerritse Eddy;Analysemethoden en -technieken Lecture 1;Lecture;A1.10;do;15-17
Geboers Nordin;Data Mining Lecture 1;Lecture;B0.201;do;15-17
Geboers Nordin;Data Mining Lecture 2;Lecture;A1.04;do;13-15
Geboers Nordin;Data Mining Tutorial 3;Tutorial;A1.06;vr;9-11
Geboers Nordin;Data Mining Lab 3;Lab;A1.04;ma;15-17
Geboers Nordin;Programmeren in Java 2 Lab 1;Lab;B0.201;di;15-17
Droste Ko;Algoritmen en complexiteit Lecture 1;Lecture;A1.10;wo;11-13
Droste Ko;Algoritmen en complexiteit Tutorial 2;Tutorial;A1.10;ma;11-13
Droste Ko;Algoritmen en complexiteit Lab 1;Lab;A1.06;do;13-15
Droste Ko;Calculus 2 Lecture 1;Lecture;C0.110;wo;13-15
Droste Ko;Calculus 2 Tutorial 3;Tutorial;C1.112;wo;15-17
Droste Ko;Software engineering Lecture 1;Lecture;C0.110;di;11-13
Droste Ko;Software engineering Tutorial 2;Tutorial;A1.10;ma;13-15
Droste Ko;Software engineering Lab 2;Lab;B0.201;di;9-11
Elschot Bauke;Compilerbouw Lecture 1;Lecture;C0.110;vr;17-19
Elschot Bauke;Compilerbouw Lecture 2;Lecture;C0.110;do;11-13
Elschot Bauke;Compilerbouw Tutorial 1;Tutorial;A1.10;vr;15-17
Elschot Bauke;Compilerbouw Lab 2;Lab;C0.110;di;13-15
Gielissen Deacon;Autonomous Agents 2 Lecture 1;Lecture;C1.112;di;13-15
Gielissen Deacon;Autonomous Agents 2 Lecture 2;Lecture;A1.04;di;15-17
Gielissen Deacon;Autonomous Agents 2 Tutorial 1;Tutorial;A1.08;vr;13-15
Gielissen Deacon;Autonomous Agents 2 Lab 2;Lab;A1.10;ma;9-11
Gielissen Deacon;Compilerbouw Lecture 1;Lecture;C0.110;vr;17-19
Gielissen Deacon;Compilerbouw Lecture 2;Lecture;C0.110;do;11-13
Gielissen Deacon;Compilerbouw Tutorial 2;Tutorial;A1.04;vr;15-17
Gielissen Deacon;Compilerbouw Lab 2;Lab;C0.110;di;13-15
Gielissen Deacon;Kansrekenen 2 Lecture 1;Lecture;C0.110;do;13-15
Gielissen Deacon;Kansrekenen 2 Lecture 2;Lecture;C0.110;wo;11-13
Gielissen Deacon;Software engineering Lecture 1;Lecture;C0.110;di;11-13
Gielissen Deacon;Software engineering Tutorial 1;Tutorial;A1.04;vr;11-13
Gielissen Deacon;Software engineering Lab 1;Lab;C1.112;wo;13-15
Freriks Ynze;Software engineering Lecture 1;Lecture;C0.110;di;11-13
Freriks Ynze;Software engineering Tutorial 1;Tutorial;A1.04;vr;11-13
Freriks Ynze;Software engineering Lab 1;Lab;C1.112;wo;13-15
Droog S?la;Advanced Heuristics Lecture 1;Lecture;C1.112;wo;11-13
Droog S?la;Advanced Heuristics Lab 2;Lab;A1.08;wo;9-11
Droog S?la;Bioinformatica Lecture 1;Lecture;C0.110;wo;17-19
Droog S?la;Bioinformatica Lecture 2;Lecture;C1.112;ma;9-11
Droog S?la;Bioinformatica Lecture 3;Lecture;C0.110;wo;15-17
Droog S?la;Bioinformatica Tutorial 1;Tutorial;A1.10;wo;13-15
Droog S?la;Bioinformatica Lab 3;Lab;A1.06;ma;11-13
Droog S?la;Databases 2 Lecture 1;Lecture;C0.110;ma;13-15
Droog S?la;Databases 2 Tutorial 2;Tutorial;A1.10;ma;15-17
Dieters Andr;Algoritmen en complexiteit Lecture 1;Lecture;A1.10;wo;11-13
Dieters Andr;Algoritmen en complexiteit Tutorial 2;Tutorial;A1.10;ma;11-13
Dieters Andr;Algoritmen en complexiteit Lab 1;Lab;A1.06;do;13-15
Dieters Andr;Databases 2 Lecture 1;Lecture;C0.110;ma;13-15
Dieters Andr;Databases 2 Tutorial 1;Tutorial;C1.112;vr;15-17
Dieters Andr;Heuristieken 1 Lecture 1;Lecture;C0.110;wo;9-11
Dieters Andr;Heuristieken 1 Tutorial 1;Tutorial;B0.201;vr;13-15
Dieters Andr;Netwerken en systeembeveiliging Lab 4;Lab;A1.08;do;11-13
Hamstra Sahar;Compilerbouw practicum Lab 1;Lab;C0.110;do;9-11
Hamstra Sahar;Heuristieken 1 Lecture 1;Lecture;C0.110;wo;9-11
Hamstra Sahar;Heuristieken 1 Tutorial 1;Tutorial;B0.201;vr;13-15
Hamstra Sahar;Lineaire Algebra Lecture 1;Lecture;A1.10;vr;11-13
Hamstra Sahar;Lineaire Algebra Lecture 2;Lecture;A1.10;vr;9-11
Dieperink Pietro;Technology for games Lecture 1;Lecture;B0.201;wo;11-13
Dieperink Pietro;Technology for games Lecture 2;Lecture;B0.201;ma;11-13
Dieperink Pietro;Technology for games Tutorial 2;Tutorial;A1.08;di;11-13
Gk Maritte;Heuristieken 2 Lecture 1;Lecture;C1.112;ma;11-13
Gk Maritte;Heuristieken 2 Tutorial 2;Tutorial;A1.06;ma;9-11
Gk Maritte;Moderne Databases Lecture 1;Lecture;C1.112;wo;9-11
Gk Maritte;Moderne Databases Tutorial 3;Tutorial;B0.201;do;13-15
Gk Maritte;Moderne Databases Lab 1;Lab;A1.04;wo;11-13
Gk Maritte;Software engineering Lecture 1;Lecture;C0.110;di;11-13
Gk Maritte;Software engineering Tutorial 1;Tutorial;A1.04;vr;11-13
Gk Maritte;Software engineering Lab 2;Lab;B0.201;di;9-11
Gk Maritte;Webprogrammeren en databases Lecture 1;Lecture;B0.201;do;9-11
Gk Maritte;Webprogrammeren en databases Lecture 2;Lecture;B0.201;wo;13-15
Gk Maritte;Webprogrammeren en databases Tutorial 2;Tutorial;B0.201;wo;15-17
Gk Maritte;Webprogrammeren en databases Lab 2;Lab;A1.04;do;11-13
Doppenberg Maruschka;Netwerken en systeembeveiliging Lab 3;Lab;A1.04;wo;13-15
de Snoo a?la;Compilerbouw practicum Lab 1;Lab;C0.110;do;9-11
de Snoo a?la;Project Genetic Algorithms Lab 2;Lab;A1.06;di;15-17
Giesen Richenel;Analysemethoden en -technieken Lecture 1;Lecture;A1.10;do;15-17
Gilsing Marco;Moderne Databases Lecture 1;Lecture;C1.112;wo;9-11
Gilsing Marco;Moderne Databases Tutorial 3;Tutorial;B0.201;do;13-15
Gilsing Marco;Moderne Databases Lab 2;Lab;A1.08;di;9-11
Gijbels Abdelkader;Compilerbouw Lecture 1;Lecture;C0.110;vr;17-19
Gijbels Abdelkader;Compilerbouw Lecture 2;Lecture;C0.110;do;11-13
Gijbels Abdelkader;Compilerbouw Tutorial 1;Tutorial;A1.10;vr;15-17
Gijbels Abdelkader;Compilerbouw Lab 1;Lab;C0.110;vr;13-15
Gijbels Abdelkader;Lineaire Algebra Lecture 1;Lecture;A1.10;vr;11-13
Gijbels Abdelkader;Lineaire Algebra Lecture 2;Lecture;A1.10;vr;9-11
Gijbels Abdelkader;Project Numerical Recipes Lab 2;Lab;A1.08;ma;13-15
Gijbels Abdelkader;Technology for games Lecture 1;Lecture;B0.201;wo;11-13
Gijbels Abdelkader;Technology for games Lecture 2;Lecture;B0.201;ma;11-13
Gijbels Abdelkader;Technology for games Tutorial 1;Tutorial;A1.06;wo;9-11
Diallo Brigitta;Algoritmen en complexiteit Lecture 1;Lecture;A1.10;wo;11-13
Diallo Brigitta;Algoritmen en complexiteit Tutorial 2;Tutorial;A1.10;ma;11-13
Diallo Brigitta;Algoritmen en complexiteit Lab 2;Lab;A1.10;do;11-13
Diallo Brigitta;Collectieve Intelligentie Lecture 1;Lecture;C0.110;di;15-17
Diallo Brigitta;Collectieve Intelligentie Lecture 2;Lecture;C0.110;di;17-19
Diallo Brigitta;Collectieve Intelligentie Lecture 3;Lecture;C1.112;do;13-15
Diallo Brigitta;Collectieve Intelligentie Tutorial 2;Tutorial;A1.06;ma;15-17
Diallo Brigitta;Collectieve Intelligentie Lab 2;Lab;A1.06;ma;13-15
Diallo Brigitta;Compilerbouw practicum Lab 1;Lab;C0.110;do;9-11
Diallo Brigitta;Data Mining Lecture 1;Lecture;B0.201;do;15-17
Diallo Brigitta;Data Mining Lecture 2;Lecture;A1.04;do;13-15
Diallo Brigitta;Data Mining Tutorial 1;Tutorial;A1.10;wo;9-11
Diallo Brigitta;Data Mining Lab 1;Lab;A1.06;di;13-15
Diallo Brigitta;Software engineering Lecture 1;Lecture;C0.110;di;11-13
Diallo Brigitta;Software engineering Tutorial 1;Tutorial;A1.04;vr;11-13
Diallo Brigitta;Software engineering Lab 2;Lab;B0.201;di;9-11
Fennis Nurcan;Moderne Databases Lecture 1;Lecture;C1.112;wo;9-11
Fennis Nurcan;Moderne Databases Tutorial 1;Tutorial;C1.112;vr;11-13
Fennis Nurcan;Moderne Databases Lab 1;Lab;A1.04;wo;11-13
Goor Rivelino;Data Mining Lecture 1;Lecture;B0.201;do;15-17
Goor Rivelino;Data Mining Lecture 2;Lecture;A1.04;do;13-15
Goor Rivelino;Data Mining Tutorial 1;Tutorial;A1.10;wo;9-11
Goor Rivelino;Data Mining Lab 3;Lab;A1.04;ma;15-17
Donselaar Oumaima;Informatie- en organisatieontwerp Lecture 1;Lecture;A1.06;wo;13-15
Donselaar Oumaima;Informatie- en organisatieontwerp Lecture 2;Lecture;A1.06;do;11-13
Donselaar Oumaima;Informatie- en organisatieontwerp Tutorial 1;Tutorial;A1.08;vr;9-11
Donselaar Oumaima;Informatie- en organisatieontwerp Lab 1;Lab;A1.04;do;9-11
de Smit Ziggy;Heuristieken 2 Lecture 1;Lecture;C1.112;ma;11-13
de Smit Ziggy;Heuristieken 2 Tutorial 2;Tutorial;A1.06;ma;9-11
Deniz Quido;Interactie-ontwerp Lecture 1;Lecture;A1.04;di;11-13
Deniz Quido;Interactie-ontwerp Lecture 2;Lecture;A1.04;di;9-11
Deniz Quido;Lineaire Algebra Lecture 1;Lecture;A1.10;vr;11-13
Deniz Quido;Lineaire Algebra Lecture 2;Lecture;A1.10;vr;9-11
Deniz Quido;Programmeren in Java 2 Lab 2;Lab;A1.08;wo;11-13
Grootenboer Yalda;Algoritmen en complexiteit Lecture 1;Lecture;A1.10;wo;11-13
Grootenboer Yalda;Algoritmen en complexiteit Tutorial 2;Tutorial;A1.10;ma;11-13
Grootenboer Yalda;Algoritmen en complexiteit Lab 1;Lab;A1.06;do;13-15
Grootenboer Yalda;Compilerbouw Lecture 1;Lecture;C0.110;vr;17-19
Grootenboer Yalda;Compilerbouw Lecture 2;Lecture;C0.110;do;11-13
Grootenboer Yalda;Compilerbouw Tutorial 2;Tutorial;A1.04;vr;15-17
Grootenboer Yalda;Compilerbouw Lab 2;Lab;C0.110;di;13-15
Grootenboer Yalda;Project Numerical Recipes Lab 2;Lab;A1.08;ma;13-15
Grootenboer Yalda;Webprogrammeren en databases Lecture 1;Lecture;B0.201;do;9-11
Grootenboer Yalda;Webprogrammeren en databases Lecture 2;Lecture;B0.201;wo;13-15
Grootenboer Yalda;Webprogrammeren en databases Tutorial 1;Tutorial;C1.112;di;15-17
Grootenboer Yalda;Webprogrammeren en databases Lab 1;Lab;A1.04;ma;9-11
Hamers Judi;Compilerbouw practicum Lab 1;Lab;C0.110;do;9-11
Hamers Judi;Technology for games Lecture 1;Lecture;B0.201;wo;11-13
Hamers Judi;Technology for games Lecture 2;Lecture;B0.201;ma;11-13
Hamers Judi;Technology for games Tutorial 2;Tutorial;A1.08;di;11-13
Essink Hande;Moderne Databases Lecture 1;Lecture;C1.112;wo;9-11
Essink Hande;Moderne Databases Tutorial 1;Tutorial;C1.112;vr;11-13
Essink Hande;Moderne Databases Lab 2;Lab;A1.08;di;9-11
Haanstra Jetty;Calculus 2 Lecture 1;Lecture;C0.110;wo;13-15
Haanstra Jetty;Calculus 2 Tutorial 1;Tutorial;C0.110;ma;15-17
Doeve Winfried;Project Numerical Recipes Lab 2;Lab;A1.08;ma;13-15
Geluk Patric;Webprogrammeren en databases Lecture 1;Lecture;B0.201;do;9-11
Geluk Patric;Webprogrammeren en databases Lecture 2;Lecture;B0.201;wo;13-15
Geluk Patric;Webprogrammeren en databases Tutorial 2;Tutorial;B0.201;wo;15-17
Geluk Patric;Webprogrammeren en databases Lab 1;Lab;A1.04;ma;9-11
Eggermont Catharinus;Software engineering Lecture 1;Lecture;C0.110;di;11-13
Eggermont Catharinus;Software engineering Tutorial 2;Tutorial;A1.10;ma;13-15
Eggermont Catharinus;Software engineering Lab 1;Lab;C1.112;wo;13-15
Heijman Berdina;Kansrekenen 2 Lecture 1;Lecture;C0.110;do;13-15
Heijman Berdina;Kansrekenen 2 Lecture 2;Lecture;C0.110;wo;11-13
Heijman Berdina;Netwerken en systeembeveiliging Lab 3;Lab;A1.04;wo;13-15
Heijman Berdina;Project Genetic Algorithms Lab 1;Lab;C0.110;ma;9-11
Geers Sohrab;Collectieve Intelligentie Lecture 1;Lecture;C0.110;di;15-17
Geers Sohrab;Collectieve Intelligentie Lecture 2;Lecture;C0.110;di;17-19
Geers Sohrab;Collectieve Intelligentie Lecture 3;Lecture;C1.112;do;13-15
Geers Sohrab;Collectieve Intelligentie Tutorial 2;Tutorial;A1.06;ma;15-17
Geers Sohrab;Collectieve Intelligentie Lab 3;Lab;A1.04;di;13-15
Geers Sohrab;Lineaire Algebra Lecture 1;Lecture;A1.10;vr;11-13
Geers Sohrab;Lineaire Algebra Lecture 2;Lecture;A1.10;vr;9-11
Geers Sohrab;Zoeken sturen en bewegen Lab 3;Lab;A1.06;di;11-13
Hofman Anne-Jet;Webprogrammeren en databases Lecture 1;Lecture;B0.201;do;9-11
Hofman Anne-Jet;Webprogrammeren en databases Lecture 2;Lecture;B0.201;wo;13-15
Hofman Anne-Jet;Webprogrammeren en databases Tutorial 2;Tutorial;B0.201;wo;15-17
Hofman Anne-Jet;Webprogrammeren en databases Lab 1;Lab;A1.04;ma;9-11
Hoeksema Dana;Architectuur en computerorganisatie Lecture 1;Lecture;B0.201;di;13-15
Hoeksema Dana;Architectuur en computerorganisatie Lecture 2;Lecture;A1.04;ma;11-13
Hoeksema Dana;Compilerbouw Lecture 1;Lecture;C0.110;vr;17-19
Hoeksema Dana;Compilerbouw Lecture 2;Lecture;C0.110;do;11-13
Hoeksema Dana;Compilerbouw Tutorial 1;Tutorial;A1.10;vr;15-17
Hoeksema Dana;Compilerbouw Lab 1;Lab;C0.110;vr;13-15
Hoeksema Dana;Machine Learning Lecture 1;Lecture;A1.06;di;9-11
Hoeksema Dana;Machine Learning Lecture 2;Lecture;C1.112;di;11-13
Heijnen Guus;Calculus 2 Lecture 1;Lecture;C0.110;wo;13-15
Heijnen Guus;Calculus 2 Tutorial 1;Tutorial;C0.110;ma;15-17
Heijnen Guus;Project Numerical Recipes Lab 3;Lab;A1.04;wo;15-17
Eggens Wissal;Databases 2 Lecture 1;Lecture;C0.110;ma;13-15
Eggens Wissal;Databases 2 Tutorial 2;Tutorial;A1.10;ma;15-17
Eggens Wissal;Zoeken sturen en bewegen Lab 3;Lab;A1.06;di;11-13
Holt Nesrin;Databases 2 Lecture 1;Lecture;C0.110;ma;13-15
Holt Nesrin;Databases 2 Tutorial 2;Tutorial;A1.10;ma;15-17
Holt Nesrin;Project Genetic Algorithms Lab 2;Lab;A1.06;di;15-17
Eeltink Brecht;Compilerbouw Lecture 1;Lecture;C0.110;vr;17-19
Eeltink Brecht;Compilerbouw Lecture 2;Lecture;C0.110;do;11-13
Eeltink Brecht;Compilerbouw Tutorial 1;Tutorial;A1.10;vr;15-17
Eeltink Brecht;Compilerbouw Lab 1;Lab;C0.110;vr;13-15
Eeltink Brecht;Software engineering Lecture 1;Lecture;C0.110;di;11-13
Eeltink Brecht;Software engineering Tutorial 2;Tutorial;A1.10;ma;13-15
Eeltink Brecht;Software engineering Lab 1;Lab;C1.112;wo;13-15
Duiveman Doede;Compilerbouw Lecture 1;Lecture;C0.110;vr;17-19
Duiveman Doede;Compilerbouw Lecture 2;Lecture;C0.110;do;11-13
Duiveman Doede;Compilerbouw Tutorial 2;Tutorial;A1.04;vr;15-17
Duiveman Doede;Compilerbouw Lab 1;Lab;C0.110;vr;13-15
Duiveman Doede;Informatie- en organisatieontwerp Lecture 1;Lecture;A1.06;wo;13-15
Duiveman Doede;Informatie- en organisatieontwerp Lecture 2;Lecture;A1.06;do;11-13
Duiveman Doede;Informatie- en organisatieontwerp Tutorial 1;Tutorial;A1.08;vr;9-11
Duiveman Doede;Informatie- en organisatieontwerp Lab 2;Lab;A1.06;wo;15-17
Duiveman Doede;Moderne Databases Lecture 1;Lecture;C1.112;wo;9-11
Duiveman Doede;Moderne Databases Tutorial 1;Tutorial;C1.112;vr;11-13
Duiveman Doede;Moderne Databases Lab 2;Lab;A1.08;di;9-11
Duiveman Doede;Technology for games Lecture 1;Lecture;B0.201;wo;11-13
Duiveman Doede;Technology for games Lecture 2;Lecture;B0.201;ma;11-13
Duiveman Doede;Technology for games Tutorial 2;Tutorial;A1.08;di;11-13
Duiveman Doede;Zoeken sturen en bewegen Lab 2;Lab;A1.04;ma;13-15
Heller Mahmud;Data Mining Lecture 1;Lecture;B0.201;do;15-17
Heller Mahmud;Data Mining Lecture 2;Lecture;A1.04;do;13-15
Heller Mahmud;Data Mining Tutorial 3;Tutorial;A1.06;vr;9-11
Heller Mahmud;Data Mining Lab 3;Lab;A1.04;ma;15-17
Heller Mahmud;Reflectie op de digitale cultuur Lecture 1;Lecture;A1.10;di;13-15
Heller Mahmud;Reflectie op de digitale cultuur Lecture 2;Lecture;A1.10;vr;13-15
Heller Mahmud;Reflectie op de digitale cultuur Tutorial 3;Tutorial;B0.201;vr;11-13
Hoenderdos Sverre;Analysemethoden en -technieken Lecture 1;Lecture;A1.10;do;15-17
Grift Umar;Autonomous Agents 2 Lecture 1;Lecture;C1.112;di;13-15
Grift Umar;Autonomous Agents 2 Lecture 2;Lecture;A1.04;di;15-17
Grift Umar;Autonomous Agents 2 Tutorial 2;Tutorial;A1.08;do;13-15
Grift Umar;Autonomous Agents 2 Lab 3;Lab;A1.08;wo;13-15
Grift Umar;Programmeren in Java 2 Lab 6;Lab;A1.10;di;11-13
Doedens Kelly;Calculus 2 Lecture 1;Lecture;C0.110;wo;13-15
Doedens Kelly;Calculus 2 Tutorial 1;Tutorial;C0.110;ma;15-17
Doedens Kelly;Databases 2 Lecture 1;Lecture;C0.110;ma;13-15
Doedens Kelly;Databases 2 Tutorial 1;Tutorial;C1.112;vr;15-17
Fokkens Diemer;Analysemethoden en -technieken Lecture 1;Lecture;A1.10;do;15-17
Fokkens Diemer;Bioinformatica Lecture 1;Lecture;C0.110;wo;17-19
Fokkens Diemer;Bioinformatica Lecture 2;Lecture;C1.112;ma;9-11
Fokkens Diemer;Bioinformatica Lecture 3;Lecture;C0.110;wo;15-17
Fokkens Diemer;Bioinformatica Tutorial 3;Tutorial;C1.112;ma;13-15
Fokkens Diemer;Bioinformatica Lab 1;Lab;A1.04;vr;9-11
Fokkens Diemer;Calculus 2 Lecture 1;Lecture;C0.110;wo;13-15
Fokkens Diemer;Calculus 2 Tutorial 2;Tutorial;B0.201;ma;15-17
Fokkens Diemer;Moderne Databases Lecture 1;Lecture;C1.112;wo;9-11
Fokkens Diemer;Moderne Databases Tutorial 1;Tutorial;C1.112;vr;11-13
Fokkens Diemer;Moderne Databases Lab 2;Lab;A1.08;di;9-11
Fokkens Diemer;Technology for games Lecture 1;Lecture;B0.201;wo;11-13
Fokkens Diemer;Technology for games Lecture 2;Lecture;B0.201;ma;11-13
Fokkens Diemer;Technology for games Tutorial 2;Tutorial;A1.08;di;11-13
Geelen Bahattin;Technology for games Lecture 1;Lecture;B0.201;wo;11-13
Geelen Bahattin;Technology for games Lecture 2;Lecture;B0.201;ma;11-13
Geelen Bahattin;Technology for games Tutorial 1;Tutorial;A1.06;wo;9-11
Heikoop Rosali;Netwerken en systeembeveiliging Lab 1;Lab;A1.08;vr;11-13
Heikoop Rosali;Programmeren in Java 2 Lab 2;Lab;A1.08;wo;11-13
Heikoop Rosali;Software engineering Lecture 1;Lecture;C0.110;di;11-13
Heikoop Rosali;Software engineering Tutorial 2;Tutorial;A1.10;ma;13-15
Heikoop Rosali;Software engineering Lab 2;Lab;B0.201;di;9-11
Elissen Raven;Bioinformatica Lecture 1;Lecture;C0.110;wo;17-19
Elissen Raven;Bioinformatica Lecture 2;Lecture;C1.112;ma;9-11
Elissen Raven;Bioinformatica Lecture 3;Lecture;C0.110;wo;15-17
Elissen Raven;Bioinformatica Tutorial 2;Tutorial;A1.08;do;15-17
Elissen Raven;Bioinformatica Lab 3;Lab;A1.06;ma;11-13
Elissen Raven;Netwerken en systeembeveiliging Lab 1;Lab;A1.08;vr;11-13
Hamelink Virgill;Programmeren in Java 2 Lab 2;Lab;A1.08;wo;11-13
Hamelink Virgill;Software engineering Lecture 1;Lecture;C0.110;di;11-13
Hamelink Virgill;Software engineering Tutorial 1;Tutorial;A1.04;vr;11-13
Hamelink Virgill;Software engineering Lab 2;Lab;B0.201;di;9-11
Hamhuis Olle;Compilerbouw practicum Lab 3;Lab;C0.110;vr;9-11
Elberse Pearl;Databases 2 Lecture 1;Lecture;C0.110;ma;13-15
Elberse Pearl;Databases 2 Tutorial 1;Tutorial;C1.112;vr;15-17
Haarman Gabe;Technology for games Lecture 1;Lecture;B0.201;wo;11-13
Haarman Gabe;Technology for games Lecture 2;Lecture;B0.201;ma;11-13
Haarman Gabe;Technology for games Tutorial 2;Tutorial;A1.08;di;11-13
Holstein Johanne;Compilerbouw practicum Lab 2;Lab;C1.112;di;9-11
Holstein Johanne;Netwerken en systeembeveiliging Lab 2;Lab;B0.201;di;11-13
Drge Siri;Project Numerical Recipes Lab 1;Lab;C1.112;do;9-11
